complex_id,AFdefault_Neff
1P9M_A-1P9M_C,3686
1P9M_C-1P9M_B,2441
1PBY_C-1PBY_A,3364
1PG5_A-1PG5_B,7996
1PRT_B-1PRT_D,10
1PRT_B-1PRT_F,10
1PRT_E-1PRT_F,2
1PRT_G-1PRT_K,1088
1PRT_G-1PRT_L,1092
1PXV_B-1PXV_D,1897
1Q90_D-1Q90_C,4759
1Q90_R-1Q90_A,650
1QGK_B-1QGK_A,5545
1QS0_A-1QS0_B,14743
1QZ7_A-1QZ7_B,2986
1R0R_I-1R0R_E,37661
1R4A_A-1R4A_E,5657
1R5I_A-1R5I_D,1457
1R6O_B-1R6O_D,4888
1RH5_A-1RH5_C,3194
1RLB_E-1RLB_B,2967
1RP3_F-1RP3_E,10351
1S64_F-1S64_E,7039
1S6V_B-1S6V_C,7097
1S70_A-1S70_B,106144
1SBW_A-1SBW_I,19763
1SKR_B-1SKR_A,24929
1SQ2_L-1SQ2_N,3019
1SR4_B-1SR4_A,3267
1SXJ_B-1SXJ_G,11772
1T0F_A-1T0F_C,2404
1T0P_A-1T0P_B,4853
1T6G_D-1T6G_B,3198
1TAF_A-1TAF_B,938
1TBR_S-1TBR_K,22957
1TH8_B-1TH8_A,9760
1TII_C-1TII_E,17
1TTW_A-1TTW_B,954
1U2G_B-1U2G_C,8734
1U35_C-1U35_F,2343
1UB4_A-1UB4_C,4037
1UF2_K-1UF2_A,6
1UNL_A-1UNL_D,84361
1UW4_D-1UW4_C,2594
1VG9_B-1VG9_A,15321
1W85_C-1W85_D,5443
1W85_I-1W85_B,12665
1WA5_A-1WA5_C,14023
1WDD_E-1WDD_W,3591
1WTH_A-1WTH_D,6929
1WUI_L-1WUI_S,7468
1WVE_A-1WVE_C,8912
1WWW_V-1WWW_Y,2371
1WYW_A-1WYW_B,3775
1X3Z_B-1X3Z_A,3703
1XDT_R-1XDT_T,203
1XF6_C-1XF6_A,1408
1XKP_C-1XKP_A,466
1XOU_A-1XOU_B,7
1XRS_B-1XRS_A,4224
1XU2_A-1XU2_R,666
1Y56_B-1Y56_A,25690
1Y96_A-1Y96_B,986
1YA5_B-1YA5_T,19343
1YAR_C-1YAR_S,5261
1YC0_A-1YC0_I,21987
1YFN_E-1YFN_A,1234
1YHN_A-1YHN_B,13082
1YKH_A-1YKH_B,792
1YTZ_I-1YTZ_C,11336
1Z0J_A-1Z0J_B,12374
1Z2C_A-1Z2C_B,11188
1ZAV_A-1ZAV_V,6705
1ZBD_A-1ZBD_B,13517
1ZOQ_C-1ZOQ_A,305
1ZQ1_A-1ZQ1_C,12284
1ZR0_B-1ZR0_A,24519
1ZT2_A-1ZT2_B,3445
1ZUN_B-1ZUN_A,9925
2A1J_A-2A1J_B,1867
2A40_A-2A40_B,9206
2A40_D-2A40_F,6318
2A5Y_A-2A5Y_B,4346
2A6Q_C-2A6Q_F,4100
2AQ2_B-2AQ2_A,1707
2ARP_A-2ARP_F,4445
2AS5_F-2AS5_N,2613
2AST_C-2AST_B,6814
2AUH_B-2AUH_A,49702
2AVU_B-2AVU_E,1579
2AW2_B-2AW2_A,3594
2AZE_C-2AZE_B,804
2B1X_A-2B1X_B,11393
2B3T_B-2B3T_A,29983
2B4J_A-2B4J_D,2625
2B5L_A-2B5L_C,4101
2B9S_A-2B9S_B,3559
2BA1_E-2BA1_B,6736
2BEC_B-2BEC_A,2985
2BH1_X-2BH1_A,2598
2BKR_B-2BKR_A,5028
2BO9_A-2BO9_B,6902
2BQ1_I-2BQ1_E,9123
2BRQ_A-2BRQ_C,2402
2BS2_C-2BS2_B,5300
2BTV_H-2BTV_B,45
2C1M_A-2C1M_B,4776
2C4F_L-2C4F_U,6449
2C7M_B-2C7M_A,5596
2CG5_B-2CG5_A,7082
2CLY_A-2CLY_C,1179
2CLY_C-2CLY_B,1456
2CLY_D-2CLY_E,1782
2CZV_A-2CZV_C,3392
2D1K_A-2D1K_C,6386
2D1P_D-2D1P_F,3120
2D7C_A-2D7C_C,12588
2DOQ_D-2DOQ_B,5206
2DZO_D-2DZO_C,57827
2E31_A-2E31_B,4679
2EHB_D-2EHB_A,3917
2EQ7_C-2EQ7_B,14938
2EQB_A-2EQB_B,14996
2ES4_B-2ES4_E,5440
2EX3_A-2EX3_B,4912
2F2C_B-2F2C_A,84938
2F3C_I-2F3C_E,20387
2F4M_B-2F4M_A,3799
2F8X_C-2F8X_M,667
2F8X_K-2F8X_C,74114
2F8X_K-2F8X_M,80666
2F91_A-2F91_B,19790
2F9I_B-2F9I_A,8187
2FD6_U-2FD6_A,3332
2FD6_U-2FD6_H,3352
2FDB_M-2FDB_P,13543
2FH5_A-2FH5_B,3065
2FHZ_A-2FHZ_B,211
2FM8_A-2FM8_C,139
2FMM_C-2FMM_E,1063
2FTK_E-2FTK_A,96163
2FU5_D-2FU5_A,10445
2FYU_A-2FYU_G,19031
2FYU_A-2FYU_K,18456
2FYU_C-2FYU_A,23212
2FYU_C-2FYU_D,7135
2FYU_C-2FYU_E,7802
2FYU_C-2FYU_F,5746
2FYU_C-2FYU_G,5172
2FYU_D-2FYU_G,2765
2FYU_D-2FYU_H,2694
2FYU_D-2FYU_J,2640
2FYU_F-2FYU_G,1354
2FYU_I-2FYU_A,18768
2FYU_J-2FYU_K,549
2G48_D-2G48_B,11809
2G77_B-2G77_A,13009
2GAF_A-2GAF_D,902
2GAG_A-2GAG_C,20865
2GAG_A-2GAG_D,19437
2GAG_B-2GAG_D,11168
2GAG_D-2GAG_C,4397
2GH0_C-2GH0_A,280
2GWW_A-2GWW_B,578
2H1L_Q-2H1L_E,4384
2H32_B-2H32_A,3445
2H9E_H-2H9E_C,19637
2HSN_B-2HSN_A,2943
2HTM_G-2HTM_C,3139
2HVY_D-2HVY_C,2364
2HYI_A-2HYI_D,545
2HYI_C-2HYI_D,12326
2HYI_H-2HYI_G,5995
2HYI_I-2HYI_G,14384
2HZM_A-2HZM_B,870
2I2X_J-2I2X_I,6926
2I3T_C-2I3T_D,4916
2IJ0_B-2IJ0_C,1643
2IVF_A-2IVF_B,15574
2IVF_C-2IVF_B,9041
2IZO_C-2IZO_A,5922
2IZV_A-2IZV_C,3087
2J12_B-2J12_A,2172
2J3T_A-2J3T_C,2323
2J3W_D-2J3W_C,2337
2J56_A-2J56_H,5890
2J56_A-2J56_L,4134
2J56_L-2J56_H,3970
2J7A_B-2J7A_C,7895
2JF1_A-2JF1_T,2036
2NN6_F-2NN6_I,4781
2NN6_I-2NN6_G,4038
2NPS_A-2NPS_D,2290
2NPS_C-2NPS_D,1607
2NS1_B-2NS1_A,10212
2NUD_A-2NUD_C,268
2NUT_A-2NUT_C,4957
2NV2_L-2NV2_K,6087
2NYZ_E-2NYZ_B,701
2O8G_A-2O8G_I,6522
2O98_A-2O98_P,2578
2OCF_D-2OCF_A,3495
2ODY_E-2ODY_B,25341
2OI9_A-2OI9_B,3525
2OM2_A-2OM2_B,4594
2OMY_B-2OMY_A,27543
2OT3_B-2OT3_A,14133
2OXG_Z-2OXG_Y,3213
2OZ4_A-2OZ4_H,5093
2OZB_D-2OZB_E,3653
2P1L_E-2P1L_F,957
2P22_A-2P22_C,1695
2P22_A-2P22_D,860
2P22_B-2P22_A,1189
2P22_C-2P22_D,959
2P58_A-2P58_C,444
2P58_B-2P58_C,589
2P5T_E-2P5T_F,4292
2P8Q_A-2P8Q_B,5343
2PBD_A-2PBD_P,7900
2PBD_A-2PBD_V,6308
2PBD_P-2PBD_V,1156
2PBI_D-2PBI_C,71430
2PF4_H-2PF4_D,5557
2PJW_H-2PJW_V,229
2PK9_A-2PK9_B,91751
2PMS_A-2PMS_C,2453
2PMZ_A-2PMZ_H,8310
2PMZ_A-2PMZ_L,8622
2PMZ_B-2PMZ_N,9337
2PMZ_B-2PMZ_P,8781
2PMZ_E-2PMZ_K,4415
2PMZ_H-2PMZ_K,1989
2PMZ_K-2PMZ_C,4917
2PMZ_Q-2PMZ_W,7897
2PMZ_T-2PMZ_G,7724
2PMZ_V-2PMZ_G,5730
2PNR_G-2PNR_E,6475
2PQN_B-2PQN_A,622
2PSM_C-2PSM_B,168
2PT7_D-2PT7_H,8103
2PU9_B-2PU9_A,542
2PU9_C-2PU9_A,8699
2PW8_H-2PW8_I,21711
2Q0O_A-2Q0O_C,3709
2Q1Z_A-2Q1Z_B,30146
2Q2E_B-2Q2E_A,6374
2Q7N_A-2Q7N_B,5056
2Q86_D-2Q86_C,3554
2QCS_B-2QCS_A,108170
2QFA_A-2QFA_B,2339
2QFA_A-2QFA_C,2832
2QFA_C-2QFA_B,179
2QIY_C-2QIY_A,1111
2QKH_A-2QKH_B,968
2QKL_B-2QKL_A,1150
2QLV_F-2QLV_E,5933
2QSF_X-2QSF_A,3689
2QTV_B-2QTV_A,6658
2QTV_B-2QTV_D,3342
2QWO_A-2QWO_B,15443
2R17_C-2R17_A,3998
2R6A_B-2R6A_C,21051
2RDD_A-2RDD_B,35199
2RF4_A-2RF4_B,1406
2UZX_B-2UZX_A,26630
2V3B_B-2V3B_A,24038
2V51_D-2V51_E,6401
2V53_A-2V53_D,3276
2V5P_B-2V5P_C,3512
2V6X_A-2V6X_B,1124
2VCP_B-2VCP_E,6331
2VE7_D-2VE7_B,2461
2VPG_A-2VPG_B,1177
2VPZ_A-2VPZ_B,9684
2VPZ_F-2VPZ_G,10199
2VSM_A-2VSM_B,767
2VSO_A-2VSO_E,12792
2W19_B-2W19_D,4434
2WAX_A-2WAX_B,10563
2WBL_C-2WBL_A,9198
2WDQ_C-2WDQ_B,6063
2WDQ_E-2WDQ_F,15468
2WG3_A-2WG3_C,8000
2WIU_D-2WIU_C,6009
2WJN_L-2WJN_C,3478
2WJN_L-2WJN_H,2938
2WJV_E-2WJV_B,13742
2WM9_B-2WM9_A,9721
2WP0_D-2WP0_B,1818
2WT7_A-2WT7_B,1401
2WTK_E-2WTK_D,24992
2WWX_A-2WWX_B,15233
2WZP_H-2WZP_P,412
2WZP_Q-2WZP_R,427
2X19_A-2X19_B,12995
2XKO_B-2XKO_C,13070
2XPI_B-2XPI_A,9796
2XPP_A-2XPP_B,834
2XTS_B-2XTS_A,9683
2XZE_A-2XZE_Q,773
2Y0M_A-2Y0M_B,1562
2Y0N_A-2Y0N_E,1119
2Y3A_B-2Y3A_A,6247
2Y3N_C-2Y3N_D,2395
2Y69_A-2Y69_B,11247
2Y69_A-2Y69_D,6409
2Y69_A-2Y69_M,5469
2Y69_A-2Y69_T,6218
2Y69_B-2Y69_D,7094
2Y69_B-2Y69_E,6859
2Y69_B-2Y69_I,7197
2Y69_C-2Y69_G,7269
2Y69_E-2Y69_D,1636
2Y69_E-2Y69_I,855
2Y69_M-2Y69_L,308
2Y69_N-2Y69_P,3264
2Y69_N-2Y69_S,6240
2Y69_N-2Y69_Y,5542
2Y69_O-2Y69_U,6619
2Y69_P-2Y69_S,7282
2Y69_Q-2Y69_X,1111
2Y9M_A-2Y9M_B,3496
2Y9Y_A-2Y9Y_B,1175
2YFV_A-2YFV_C,1325
2YFV_C-2YFV_B,1110
2YIN_D-2YIN_B,11847
2YJN_B-2YJN_A,12151
2YNM_A-2YNM_D,5584
2YNM_B-2YNM_C,3596
2YPA_A-2YPA_C,2847
2YPA_C-2YPA_D,2458
2Z0D_B-2Z0D_A,3149
2Z5K_B-2Z5K_A,5944
2Z7F_E-2Z7F_I,13316
2ZET_A-2ZET_C,13608
2ZFD_B-2ZFD_A,3970
2ZME_D-2ZME_B,1832
2ZON_A-2ZON_G,6130
2ZP8_B-2ZP8_G,1617
2ZUP_A-2ZUP_B,5499
2ZXE_A-2ZXE_G,41304
2ZXE_B-2ZXE_A,42419
2ZXE_B-2ZXE_G,2080
2ZXX_E-2ZXX_F,727
2ZZD_J-2ZZD_L,3088
3A1J_B-3A1J_A,3141
3A1J_C-3A1J_A,2990
3A1J_C-3A1J_B,3098
3A2F_A-3A2F_B,10277
3A4U_A-3A4U_B,3468
3A5Z_C-3A5Z_D,11528
3AB0_D-3AB0_E,3237
3ABD_X-3ABD_A,366
3ABQ_D-3ABQ_C,3565
3AJB_B-3AJB_A,1095
3ALZ_A-3ALZ_B,129
3AOH_H-3AOH_Z,14387
3AU4_B-3AU4_A,2960
3AWU_A-3AWU_B,4432
3AYH_A-3AYH_B,2594
3B08_G-3B08_H,6148
3B0D_C-3B0D_B,1375
3BES_L-3BES_R,555
3BG1_A-3BG1_B,12310
3BG4_C-3BG4_D,9873
3BH7_A-3BH7_B,7329
3BK3_A-3BK3_C,1314
3BOW_C-3BOW_B,2555
3BPO_B-3BPO_C,3268
3BRV_C-3BRV_B,29
3BTP_A-3BTP_B,25
3BY4_B-3BY4_A,6255
3C0T_A-3C0T_B,475
3CF4_G-3CF4_A,6113
3CH5_A-3CH5_B,11133
3CI0_I-3CI0_J,2514
3CI0_K-3CI0_J,4835
3CL3_A-3CL3_D,385
3CPT_B-3CPT_A,1655
3CQC_B-3CQC_A,1505
3CR3_B-3CR3_D,4268
3CUE_L-3CUE_G,14596
3CX8_A-3CX8_B,4485
3D6N_B-3D6N_A,8191
3DBO_B-3DBO_A,2002
3DCG_E-3DCG_D,1301
3DDC_A-3DDC_B,12985
3DGP_A-3DGP_B,569
3DIN_A-3DIN_C,20550
3DIN_A-3DIN_E,15069
3DOE_A-3DOE_B,7150
3DWG_A-3DWG_C,10280
3E0J_A-3E0J_B,4868
3E5A_A-3E5A_B,126523
3EAB_A-3EAB_G,311
3EGG_A-3EGG_C,8401
3EGW_C-3EGW_B,9332
3ENO_B-3ENO_F,9239
3EUH_A-3EUH_C,818
3EUJ_B-3EUJ_A,3468
3F1S_B-3F1S_A,14060
3F3F_B-3F3F_D,11807
3F62_B-3F62_A,72
3F8U_C-3F8U_D,17249
3FBI_B-3FBI_A,393
3FIE_C-3FIE_A,2887
3FJU_A-3FJU_B,6071
3FWB_B-3FWB_A,7485
3G5O_D-3G5O_C,3635
3G9V_C-3G9V_D,726
3G9W_D-3G9W_A,1726
3GCG_A-3GCG_B,8216
3GE3_A-3GE3_C,3335
3GLI_A-3GLI_B,22689
3GLI_F-3GLI_J,17096
3GQI_B-3GQI_A,55337
3GYX_E-3GYX_F,6334
3GZ2_P-3GZ2_B,1754
3H0G_B-3H0G_J,9311
3H0G_B-3H0G_L,9079
3H0G_N-3H0G_U,2094
3H4S_A-3H4S_E,10503
3H7H_B-3H7H_A,1521
3HD7_F-3HD7_E,3500
3HD7_F-3HD7_G,2423
3HGK_B-3HGK_E,84904
3HHZ_A-3HHZ_K,226
3HI2_B-3HI2_A,2453
3HJY_A-3HJY_B,10439
3HMX_B-3HMX_A,2951
3HRD_D-3HRD_A,9079
3HRD_H-3HRD_F,21145
3HRD_H-3HRD_G,19898
3HRZ_D-3HRZ_C,8412
3HTK_B-3HTK_C,2279
3HUG_I-3HUG_J,3268
3HZH_A-3HZH_B,27618
3IAB_A-3IAB_B,621
3IAX_B-3IAX_A,40327
3ICQ_B-3ICQ_T,13236
3IEC_B-3IEC_F,60942
3IHP_C-3IHP_A,11350
3IHQ_B-3IHQ_A,4989
3IJ2_X-3IJ2_B,3552
3IKO_H-3IKO_I,2225
3IM4_A-3IM4_C,171
3IMA_A-3IMA_B,8902
3INB_D-3INB_A,4026
3IOZ_A-3IOZ_B,48
3ISM_A-3ISM_C,4258
3K51_B-3K51_A,4586
3K6G_E-3K6G_B,51
3K7V_C-3K7V_A,9949
3K8P_D-3K8P_C,1408
3KBU_D-3KBU_A,4227
3KF6_A-3KF6_B,1874
3KFD_A-3KFD_J,1352
3KFD_B-3KFD_F,1113
3KFD_K-3KFD_G,397
3KFU_B-3KFU_I,6515
3KFU_H-3KFU_I,14583
3KFU_H-3KFU_J,28086
3KMU_B-3KMU_A,6420
3KND_A-3KND_B,4456
3KP1_A-3KP1_E,4496
3KQ4_B-3KQ4_A,12013
3KSE_D-3KSE_A,9750
3KWV_D-3KWV_F,1481
3KXE_C-3KXE_A,4114
3KYI_B-3KYI_A,3430
3KYS_B-3KYS_A,515
3KZ4_H-3KZ4_B,13
3L2O_B-3L2O_A,5884
3L3O_B-3L3O_M,2353
3L75_E-3L75_D,5441
3L75_E-3L75_J,3574
3L75_Q-3L75_S,3165
3L75_R-3L75_T,4354
3L82_A-3L82_B,2987
3LCB_C-3LCB_B,8050
3LK2_A-3LK2_T,1594
3LK2_B-3LK2_A,2256
3LK2_B-3LK2_T,1314
3LPE_A-3LPE_B,1848
3LQC_A-3LQC_B,4400
3LQV_B-3LQV_Q,3703
3LVK_A-3LVK_B,30743
3M0D_D-3M0D_C,2153
3M1C_B-3M1C_A,111
3M4W_E-3M4W_A,3344
3M91_A-3M91_B,681
3M9S_3-3M9S_F,12470
3MDY_B-3MDY_A,23357
3ME0_A-3ME0_B,3521
3MHS_A-3MHS_B,9932
3MHS_A-3MHS_C,9760
3MHS_A-3MHS_E,9751
3MHS_C-3MHS_B,808
3MHS_D-3MHS_A,14129
3MHS_E-3MHS_B,537
3MJH_C-3MJH_D,12376
3MK7_D-3MK7_E,6108
3MK7_E-3MK7_F,9682
3MK7_G-3MK7_I,9487
3MML_A-3MML_B,11283
3MMY_C-3MMY_D,41917
3MN5_A-3MN5_S,6199
3MSX_A-3MSX_B,12122
3MXN_A-3MXN_B,495
3MZK_D-3MZK_C,16119
3N3A_B-3N3A_C,3944
3N3K_B-3N3K_A,13846
3N6R_A-3N6R_B,25741
3N9N_C-3N9N_A,3994
3N9U_C-3N9U_B,2879
3NCE_A-3NCE_B,3007
3NFG_C-3NFG_D,424
3NMU_C-3NMU_B,4595
3NMU_F-3NMU_A,6233
3NMZ_C-3NMZ_A,3884
3NY7_B-3NY7_A,5673
3NYB_B-3NYB_A,3404
3O4O_A-3O4O_B,3021
3O4O_C-3O4O_A,3816
3O4O_C-3O4O_B,3956
3O65_F-3O65_E,5921
3O6Q_A-3O6Q_D,59
3OAK_A-3OAK_D,868
3OC3_A-3OC3_C,7049
3OHM_B-3OHM_A,10813
3OIQ_B-3OIQ_A,26
3OJY_A-3OJY_C,6650
3OLM_A-3OLM_D,9980
3OQ3_B-3OQ3_A,4754
3OR1_A-3OR1_C,4584
3OR1_B-3OR1_C,4672
3OTP_I-3OTP_C,35933
3OVU_C-3OVU_A,1893
3OVU_C-3OVU_B,2232
3P5J_A-3P5J_B,4227
3P5J_A-3P5J_C,4039
3P5J_C-3P5J_B,1283
3P71_C-3P71_T,8785
3P8C_D-3P8C_F,1078
3P8C_F-3P8C_B,1337
3PCR_B-3PCR_A,6908
3PEV_A-3PEV_B,11135
3PHF_4-3PHF_3,92
3PIN_A-3PIN_B,16350
3PNL_A-3PNL_B,6748
3PNR_A-3PNR_B,9021
3PVL_A-3PVL_B,4284
3PZD_B-3PZD_A,3020
3Q33_B-3Q33_A,2104
3Q3J_B-3Q3J_A,7946
3Q87_A-3Q87_B,4262
3QBT_C-3QBT_D,14598
3QDR_B-3QDR_A,1422
3QKS_C-3QKS_A,3499
3QN1_B-3QN1_A,7824
3QVG_B-3QVG_A,1807
3QWZ_A-3QWZ_B,2455
3R07_A-3R07_C,6681
3R2D_J-3R2D_A,6035
3R45_A-3R45_C,1410
3R84_V-3R84_U,136
3RFZ_D-3RFZ_E,6346
3RFZ_F-3RFZ_E,8575
3RGB_A-3RGB_C,819
3RGB_B-3RGB_C,655
3RGB_J-3RGB_I,756
3RKO_F-3RKO_E,6401
3RLF_F-3RLF_E,32545
3RLF_G-3RLF_E,26633
3RNQ_A-3RNQ_B,2593
3RZO_B-3RZO_K,1295
3RZO_C-3RZO_J,3218
3RZO_C-3RZO_K,3763
3RZO_C-3RZO_L,2738
3S8G_A-3S8G_B,6407
3S8G_A-3S8G_C,4367
3S8G_B-3S8G_C,3788
3S9D_A-3S9D_B,849
3SBT_B-3SBT_A,1308
3SGJ_A-3SGJ_C,3403
3SJA_A-3SJA_D,4885
3SJL_B-3SJL_F,10566
3SJL_E-3SJL_B,9185
3SQG_B-3SQG_D,237
3SQG_C-3SQG_A,178
3SQG_C-3SQG_B,211
3T12_A-3T12_C,3788
3T5V_B-3T5V_C,2339
3T6G_A-3T6G_B,2206
3T97_C-3T97_B,611
3TBI_B-3TBI_A,2972
3TIX_B-3TIX_A,2667
3TJZ_A-3TJZ_B,7266
3TJZ_C-3TJZ_B,3675
3TL8_G-3TL8_K,21603
3TND_A-3TND_B,6632
3TNU_A-3TNU_B,1749
3TQ7_A-3TQ7_Q,2456
3TU5_A-3TU5_B,7702
3TUF_B-3TUF_A,10085
3TVJ_B-3TVJ_I,16077
3TVT_A-3TVT_B,7845
3TW8_D-3TW8_C,15126
3TX7_B-3TX7_A,5432
3U1J_E-3U1J_B,5845
3U52_A-3U52_E,3309
3U60_C-3U60_G,6354
3U6X_D-3U6X_Y,165
3U7U_J-3U7U_D,3580
3U88_M-3U88_C,366
3U9Z_A-3U9Z_C,6258
3UKY_B-3UKY_C,4317
3ULY_A-3ULY_B,1940
3UTM_B-3UTM_C,108790
3V11_A-3V11_B,9537
3V11_A-3V11_C,6737
3V4Y_A-3V4Y_B,6095
3V5W_A-3V5W_B,160117
3V62_C-3V62_B,2535
3V89_B-3V89_A,7216
3V96_B-3V96_A,4642
3VA2_A-3VA2_C,2926
3VEP_A-3VEP_C,1771
3VHL_B-3VHL_A,9264
3VHX_A-3VHX_B,6548
3VIQ_B-3VIQ_A,471
3VMF_A-3VMF_B,4193
3VR4_C-3VR4_G,7659
3VR4_D-3VR4_G,6926
3VR4_G-3VR4_H,3131
3VU9_B-3VU9_A,74
3VUX_B-3VUX_E,5159
3VYT_A-3VYT_B,5089
3VYT_C-3VYT_A,9587
3VYT_C-3VYT_B,11075
3VZA_A-3VZA_C,879
3VZA_A-3VZA_E,756
3VZA_C-3VZA_E,231
3W15_A-3W15_C,13327
3W1S_A-3W1S_B,888
3W1S_A-3W1S_C,1319
3W1Y_C-3W1Y_A,2909
3W5U_H-3W5U_E,9355
3WDG_A-3WDG_B,4845
3WFD_C-3WFD_B,5211
3WHL_C-3WHL_D,13999
3WKR_A-3WKR_C,3503
3WO4_A-3WO4_C,4078
3WO4_B-3WO4_C,3804
3WRY_D-3WRY_B,5740
3WSO_B-3WSO_A,4872
3WTP_C-3WTP_F,2501
3WTP_H-3WTP_F,2255
3WWN_A-3WWN_B,6250
3WWQ_D-3WWQ_F,5293
3WWT_A-3WWT_B,356
3WXF_B-3WXF_A,7455
3WXM_A-3WXM_B,4378
3WYF_A-3WYF_B,11973
3WYF_A-3WYF_C,13733
3WYF_E-3WYF_F,5279
3WYG_D-3WYG_C,4000
3X1L_B-3X1L_A,6818
3X1L_C-3X1L_A,7420
3X1L_C-3X1L_B,5497
3X1L_D-3X1L_G,3884
3X1L_F-3X1L_A,5727
3ZDL_B-3ZDL_A,577
3ZIA_A-3ZIA_G,14849
3ZIA_D-3ZIA_J,6861
3ZIA_E-3ZIA_G,13363
3ZIA_G-3ZIA_H,9063
3ZIA_G-3ZIA_I,7048
3ZIA_M-3ZIA_T,8240
3ZIA_Q-3ZIA_T,6937
3ZIA_R-3ZIA_S,2612
3ZKJ_E-3ZKJ_D,71426
3ZS9_A-3ZS9_D,4785
4A49_B-4A49_A,5717
4A8J_D-4A8J_E,3839
