complex_id,tophit_Neff
1M1E_A-1M1E_B,46
1M56_B-1M56_I,1461
1M56_C-1M56_D,58
1MIU_A-1MIU_B,205
1MNM_C-1MNM_B,128
1N2D_C-1N2D_A,130
1N6J_A-1N6J_G,2
1NBW_B-1NBW_A,89
1NF3_B-1NF3_D,74
1NH2_A-1NH2_C,55
1NH2_A-1NH2_D,91
1NH2_D-1NH2_C,103
1NPE_B-1NPE_A,185
1NU7_F-1NU7_H,1
1OF5_A-1OF5_B,310
1OFH_A-1OFH_G,453
1OGY_O-1OGY_P,98
1OQE_I-1OQE_Q,8
1OR7_F-1OR7_B,241
1ORY_B-1ORY_A,964
1OTC_A-1OTC_B,2
1OW3_B-1OW3_A,308
1P3Q_V-1P3Q_R,97
1P9M_A-1P9M_C,487
1P9M_C-1P9M_B,79
1PBY_C-1PBY_A,66
1PG5_A-1PG5_B,262
1PRT_B-1PRT_D,2
1PRT_B-1PRT_F,2
1PRT_E-1PRT_F,2
1PRT_G-1PRT_K,2
1PRT_G-1PRT_L,2
1PXV_B-1PXV_D,2
1Q90_D-1Q90_C,429
1Q90_R-1Q90_A,22
1QGK_B-1QGK_A,256
1QS0_A-1QS0_B,2463
1QZ7_A-1QZ7_B,7
1R0R_I-1R0R_E,341
1R4A_A-1R4A_E,36
1R6O_B-1R6O_D,913
1RH5_A-1RH5_C,21
1RLB_E-1RLB_B,541
1RP3_F-1RP3_E,708
1S64_F-1S64_E,1072
1S6V_B-1S6V_C,296
1S70_A-1S70_B,2341
1SBW_A-1SBW_I,1
1SKR_B-1SKR_A,2726
1SQ2_L-1SQ2_N,158
1SR4_B-1SR4_A,213
1SXJ_B-1SXJ_G,2098
1T0F_A-1T0F_C,158
1T0P_A-1T0P_B,51
1T6G_D-1T6G_B,58
1TAF_A-1TAF_B,268
1TBR_S-1TBR_K,374
1TH8_B-1TH8_A,3759
1TII_C-1TII_E,2
1TTW_A-1TTW_B,1
1U2G_B-1U2G_C,583
1U35_C-1U35_F,144
1UB4_A-1UB4_C,1973
1UNL_A-1UNL_D,49
1UW4_D-1UW4_C,233
1VG9_B-1VG9_A,573
1W85_C-1W85_D,2524
1W85_I-1W85_B,877
1WA5_A-1WA5_C,414
1WDD_E-1WDD_W,43
1WTH_A-1WTH_D,17
1WUI_L-1WUI_S,1281
1WVE_A-1WVE_C,1984
1WWW_V-1WWW_Y,65
1WYW_A-1WYW_B,208
1X3Z_B-1X3Z_A,269
1XF6_C-1XF6_A,2
1XKP_C-1XKP_A,15
1XOU_A-1XOU_B,3
1XRS_B-1XRS_A,83
1XU2_A-1XU2_R,11
1Y56_B-1Y56_A,3297
1Y96_A-1Y96_B,61
1YA5_B-1YA5_T,16
1YAR_C-1YAR_S,69
1YC0_A-1YC0_I,301
1YFN_E-1YFN_A,6
1YHN_A-1YHN_B,21
1YKH_A-1YKH_B,171
1YTZ_I-1YTZ_C,84
1Z0J_A-1Z0J_B,46
1Z2C_A-1Z2C_B,269
1ZAV_A-1ZAV_V,1942
1ZBD_A-1ZBD_B,46
1ZOQ_C-1ZOQ_A,33
1ZQ1_A-1ZQ1_C,1553
1ZR0_B-1ZR0_A,307
1ZT2_A-1ZT2_B,221
1ZUN_B-1ZUN_A,1417
2A1J_A-2A1J_B,1883
2A40_A-2A40_B,914
2A40_D-2A40_F,12
2A5Y_A-2A5Y_B,104
2A6Q_C-2A6Q_F,2440
2AQ2_B-2AQ2_A,1
2ARP_A-2ARP_F,168
2AS5_F-2AS5_N,71
2AST_C-2AST_B,329
2AUH_B-2AUH_A,105
2AVU_B-2AVU_E,76
2AW2_B-2AW2_A,107
2AZE_C-2AZE_B,20
2B1X_A-2B1X_B,1394
2B3T_B-2B3T_A,2843
2B4J_A-2B4J_D,117
2B9S_A-2B9S_B,125
2BA1_E-2BA1_B,1343
2BEC_B-2BEC_A,50
2BH1_X-2BH1_A,748
2BKR_B-2BKR_A,438
2BO9_A-2BO9_B,35
2BQ1_I-2BQ1_E,795
2BRQ_A-2BRQ_C,1
2BS2_C-2BS2_B,694
2BTV_H-2BTV_B,21
2C1M_A-2C1M_B,81
2C4F_L-2C4F_U,56
2C7M_B-2C7M_A,100
2CG5_B-2CG5_A,4348
2CLY_A-2CLY_C,69
2CLY_C-2CLY_B,83
2CLY_D-2CLY_E,86
2CZV_A-2CZV_C,474
2D1K_A-2D1K_C,25
2D1P_D-2D1P_F,541
2D7C_A-2D7C_C,12
2DOQ_D-2DOQ_B,2
2DZO_D-2DZO_C,1623
2E31_A-2E31_B,275
2EHB_D-2EHB_A,192
2EQ7_C-2EQ7_B,1080
2EQB_A-2EQB_B,69
2ES4_B-2ES4_E,235
2EX3_A-2EX3_B,5
2F2C_B-2F2C_A,501
2F3C_I-2F3C_E,373
2F4M_B-2F4M_A,272
2F8X_C-2F8X_M,16
2F8X_K-2F8X_C,136
2F8X_K-2F8X_M,67
2F91_A-2F91_B,82
2F9I_B-2F9I_A,1081
2FD6_U-2FD6_A,95
2FD6_U-2FD6_H,115
2FDB_M-2FDB_P,137
2FH5_A-2FH5_B,299
2FHZ_A-2FHZ_B,9
2FM8_A-2FM8_C,10
2FMM_C-2FMM_E,44
2FTK_E-2FTK_A,637
2FU5_D-2FU5_A,80
2FYU_A-2FYU_G,139
2FYU_A-2FYU_K,57
2FYU_C-2FYU_A,36
2FYU_C-2FYU_D,16
2FYU_C-2FYU_E,25
2FYU_C-2FYU_F,17
2FYU_C-2FYU_G,15
2FYU_D-2FYU_G,89
2FYU_D-2FYU_H,96
2FYU_D-2FYU_J,79
2FYU_F-2FYU_G,161
2FYU_I-2FYU_A,17
2FYU_J-2FYU_K,67
2G48_D-2G48_B,7
2G77_B-2G77_A,311
2GAF_A-2GAF_D,12
2GAG_A-2GAG_C,2078
2GAG_A-2GAG_D,309
2GAG_B-2GAG_D,101
2GAG_D-2GAG_C,548
2GH0_C-2GH0_A,43
2H1L_Q-2H1L_E,96
2H32_B-2H32_A,237
2H9E_H-2H9E_C,120
2HSN_B-2HSN_A,131
2HTM_G-2HTM_C,504
2HVY_D-2HVY_C,207
2HYI_A-2HYI_D,16
2HYI_C-2HYI_D,32
2HYI_H-2HYI_G,91
2HYI_I-2HYI_G,61
2HZM_A-2HZM_B,129
2I2X_J-2I2X_I,40
2I3T_C-2I3T_D,46
2IJ0_B-2IJ0_C,1
2IVF_A-2IVF_B,1779
2IVF_C-2IVF_B,290
2IZO_C-2IZO_A,1884
2IZV_A-2IZV_C,79
2J3T_A-2J3T_C,273
2J3W_D-2J3W_C,247
2J56_A-2J56_H,2251
2J56_A-2J56_L,90
2J56_L-2J56_H,106
2J7A_B-2J7A_C,1176
2NN6_F-2NN6_I,1147
2NN6_I-2NN6_G,715
2NPS_A-2NPS_D,259
2NPS_C-2NPS_D,226
2NQ2_C-2NQ2_A,3603
2NS1_B-2NS1_A,934
2NUT_A-2NUT_C,217
2NV2_L-2NV2_K,2613
2O8G_A-2O8G_I,39
2O98_A-2O98_P,12
2OCF_D-2OCF_A,173
2ODY_E-2ODY_B,315
2OI9_A-2OI9_B,138
2OM2_A-2OM2_B,20
2OMY_B-2OMY_A,196
2OT3_B-2OT3_A,302
2OXG_Z-2OXG_Y,430
2OZ4_A-2OZ4_H,230
2OZB_D-2OZB_E,449
2P1L_E-2P1L_F,23
2P22_A-2P22_C,185
2P22_A-2P22_D,17
2P22_B-2P22_A,207
2P22_C-2P22_D,19
2P58_A-2P58_C,10
2P58_B-2P58_C,16
2P5T_E-2P5T_F,38
2P8Q_A-2P8Q_B,62
2PBD_A-2PBD_P,101
2PBD_A-2PBD_V,4
2PBD_P-2PBD_V,32
2PBI_D-2PBI_C,308
2PF4_H-2PF4_D,1
2PJW_H-2PJW_V,83
2PK9_A-2PK9_B,300
2PMS_A-2PMS_C,1
2PMZ_A-2PMZ_H,279
2PMZ_A-2PMZ_L,287
2PMZ_B-2PMZ_N,261
2PMZ_B-2PMZ_P,214
2PMZ_E-2PMZ_K,413
2PMZ_H-2PMZ_K,218
2PMZ_K-2PMZ_C,320
2PMZ_Q-2PMZ_W,272
2PMZ_T-2PMZ_G,1066
2PMZ_V-2PMZ_G,340
2PNR_G-2PNR_E,2744
2PSM_C-2PSM_B,40
2PT7_D-2PT7_H,1422
2PU9_B-2PU9_A,16
2PU9_C-2PU9_A,317
2Q0O_A-2Q0O_C,44
2Q1Z_A-2Q1Z_B,2921
2Q2E_B-2Q2E_A,479
2Q7N_A-2Q7N_B,42
2Q86_D-2Q86_C,245
2QCS_B-2QCS_A,1740
2QFA_A-2QFA_B,44
2QFA_A-2QFA_C,23
2QFA_C-2QFA_B,18
2QIY_C-2QIY_A,9
2QKH_A-2QKH_B,25
2QKL_B-2QKL_A,218
2QLV_F-2QLV_E,1268
2QSF_X-2QSF_A,346
2QTV_B-2QTV_A,275
2QTV_B-2QTV_D,11
2QWO_A-2QWO_B,359
2R17_C-2R17_A,207
2R6A_B-2R6A_C,1113
2RDD_A-2RDD_B,1366
2RF4_A-2RF4_B,26
2UZX_B-2UZX_A,165
2V3B_B-2V3B_A,1790
2V51_D-2V51_E,5
2V5P_B-2V5P_C,105
2V6X_A-2V6X_B,58
2VCP_B-2VCP_E,8
2VE7_D-2VE7_B,362
2VPG_A-2VPG_B,25
2VPZ_A-2VPZ_B,2009
2VPZ_F-2VPZ_G,829
2VSO_A-2VSO_E,229
2W19_B-2W19_D,220
2WAX_A-2WAX_B,22
2WBL_C-2WBL_A,15
2WDQ_C-2WDQ_B,587
2WDQ_E-2WDQ_F,1658
2WG3_A-2WG3_C,576
2WIU_D-2WIU_C,2167
2WJN_L-2WJN_C,39
2WJN_L-2WJN_H,61
2WJV_E-2WJV_B,77
2WM9_B-2WM9_A,224
2WP0_D-2WP0_B,1
2WT7_A-2WT7_B,78
2WTK_E-2WTK_D,351
2WZP_H-2WZP_P,14
2WZP_Q-2WZP_R,9
2X19_A-2X19_B,488
2XKO_B-2XKO_C,14
2XPI_B-2XPI_A,63
2XPP_A-2XPP_B,5
2XTS_B-2XTS_A,1732
2XZE_A-2XZE_Q,13
2Y0M_A-2Y0M_B,21
2Y0N_A-2Y0N_E,45
2Y3A_B-2Y3A_A,198
2Y3N_C-2Y3N_D,81
2Y69_A-2Y69_B,315
2Y69_A-2Y69_D,55
2Y69_A-2Y69_M,10
2Y69_A-2Y69_T,41
2Y69_B-2Y69_D,117
2Y69_B-2Y69_E,76
2Y69_B-2Y69_I,49
2Y69_C-2Y69_G,108
2Y69_E-2Y69_D,107
2Y69_E-2Y69_I,45
2Y69_M-2Y69_L,24
2Y69_N-2Y69_P,283
2Y69_N-2Y69_S,55
2Y69_N-2Y69_Y,24
2Y69_O-2Y69_U,102
2Y69_P-2Y69_S,136
2Y69_Q-2Y69_X,9
2Y9M_A-2Y9M_B,34
2Y9Y_A-2Y9Y_B,49
2YFV_A-2YFV_C,5
2YFV_C-2YFV_B,3
2YIN_D-2YIN_B,219
2YJN_B-2YJN_A,2074
2YNM_A-2YNM_D,605
2YNM_B-2YNM_C,446
2YPA_A-2YPA_C,199
2YPA_C-2YPA_D,53
2Z0D_B-2Z0D_A,268
2Z7F_E-2Z7F_I,210
2ZET_A-2ZET_C,97
2ZFD_B-2ZFD_A,72
2ZME_D-2ZME_B,272
2ZON_A-2ZON_G,1549
2ZP8_B-2ZP8_G,35
2ZUP_A-2ZUP_B,1770
2ZXE_A-2ZXE_G,19
2ZXE_B-2ZXE_A,121
2ZXE_B-2ZXE_G,23
2ZXX_E-2ZXX_F,53
2ZZD_J-2ZZD_L,186
3A0R_B-3A0R_A,3634
3A1J_B-3A1J_A,575
3A1J_C-3A1J_A,685
3A1J_C-3A1J_B,538
3A2F_A-3A2F_B,610
3A4U_A-3A4U_B,359
3A5Z_C-3A5Z_D,2059
3ABD_X-3ABD_A,9
3ABQ_D-3ABQ_C,133
3AJB_B-3AJB_A,58
3AOH_H-3AOH_Z,700
3AU4_B-3AU4_A,69
3AWU_A-3AWU_B,36
3AYH_A-3AYH_B,359
3B08_G-3B08_H,142
3B0D_C-3B0D_B,282
3BES_L-3BES_R,49
3BG1_A-3BG1_B,345
3BG4_C-3BG4_D,20
3BH7_A-3BH7_B,365
3BK3_A-3BK3_C,41
3BOW_C-3BOW_B,21
3BPO_B-3BPO_C,273
3BRV_C-3BRV_B,17
3BTP_A-3BTP_B,1
3BY4_B-3BY4_A,294
3CF4_G-3CF4_A,817
3CH5_A-3CH5_B,60
3CI0_I-3CI0_J,679
3CI0_K-3CI0_J,866
3CL3_A-3CL3_D,34
3CPT_B-3CPT_A,216
3CQC_B-3CQC_A,295
3CR3_B-3CR3_D,418
3CUE_L-3CUE_G,208
3CX8_A-3CX8_B,86
3D31_A-3D31_C,2814
3D6N_B-3D6N_A,2563
3DBO_B-3DBO_A,29
3DDC_A-3DDC_B,53
3DGP_A-3DGP_B,146
3DIN_A-3DIN_C,1716
3DIN_A-3DIN_E,982
3DOE_A-3DOE_B,84
3DWG_A-3DWG_C,1510
3E0J_A-3E0J_B,316
3E5A_A-3E5A_B,19
3EAB_A-3EAB_G,57
3EGG_A-3EGG_C,907
3EGW_C-3EGW_B,922
3ENO_B-3ENO_F,207
3EUH_A-3EUH_C,19
3EUJ_B-3EUJ_A,18
3F1S_B-3F1S_A,634
3F3F_B-3F3F_D,343
3F62_B-3F62_A,8
3F8U_C-3F8U_D,140
3FBI_B-3FBI_A,103
3FJU_A-3FJU_B,3
3FWB_B-3FWB_A,14
3G5O_D-3G5O_C,4438
3G9V_C-3G9V_D,51
3G9W_D-3G9W_A,45
3GCG_A-3GCG_B,1
3GE3_A-3GE3_C,24
3GLI_A-3GLI_B,4544
3GLI_F-3GLI_J,5653
3GQI_B-3GQI_A,302
3GYX_E-3GYX_F,1475
3H0G_B-3H0G_J,258
3H0G_B-3H0G_L,189
3H0G_N-3H0G_U,348
3H4S_A-3H4S_E,312
3H7H_B-3H7H_A,332
3HD7_F-3HD7_E,304
3HD7_F-3HD7_G,216
3HGK_B-3HGK_E,6
3HHZ_A-3HHZ_K,7
3HI2_B-3HI2_A,255
3HJY_A-3HJY_B,291
3HMX_B-3HMX_A,38
3HRD_D-3HRD_A,2159
3HRD_H-3HRD_F,1973
3HRD_H-3HRD_G,2372
3HRZ_D-3HRZ_C,304
3HTK_B-3HTK_C,47
3HUG_I-3HUG_J,2771
3HZH_A-3HZH_B,1000
3IAB_A-3IAB_B,50
3IAX_B-3IAX_A,1
3ICQ_B-3ICQ_T,436
3IHP_C-3IHP_A,505
3IHQ_B-3IHQ_A,1101
3IJ2_X-3IJ2_B,47
3IKO_H-3IKO_I,390
3IM4_A-3IM4_C,21
3IMA_A-3IMA_B,290
3ISM_A-3ISM_C,91
3JQO_l-3JQO_k,482
3K51_B-3K51_A,82
3K6G_E-3K6G_B,9
3K7V_C-3K7V_A,983
3K8P_D-3K8P_C,196
3KBU_D-3KBU_A,68
3KF6_A-3KF6_B,146
3KFD_A-3KFD_J,101
3KFD_B-3KFD_F,17
3KFD_K-3KFD_G,23
3KFU_B-3KFU_I,1854
3KFU_H-3KFU_I,1768
3KFU_H-3KFU_J,1546
3KMU_B-3KMU_A,294
3KP1_A-3KP1_E,64
3KQ4_B-3KQ4_A,99
3KSE_D-3KSE_A,312
3KWV_D-3KWV_F,10
3KXE_C-3KXE_A,2099
3KYI_B-3KYI_A,2141
3KYS_B-3KYS_A,22
3KZ4_H-3KZ4_B,8
3L2O_B-3L2O_A,277
3L75_E-3L75_D,644
3L75_E-3L75_J,98
3L75_Q-3L75_S,120
3L75_R-3L75_T,107
3L82_A-3L82_B,42
3LCB_C-3LCB_B,166
3LK2_A-3LK2_T,7
3LK2_B-3LK2_A,220
3LK2_B-3LK2_T,5
3LPE_A-3LPE_B,280
3LQC_A-3LQC_B,97
3LQV_B-3LQV_Q,117
3LVK_A-3LVK_B,1801
3M0D_D-3M0D_C,38
3M1C_B-3M1C_A,19
3M4W_E-3M4W_A,87
3M91_A-3M91_B,142
3M9S_3-3M9S_F,1838
3MDY_B-3MDY_A,1151
3ME0_A-3ME0_B,61
3MHS_A-3MHS_B,274
3MHS_A-3MHS_C,240
3MHS_A-3MHS_E,38
3MHS_C-3MHS_B,167
3MHS_D-3MHS_A,532
3MHS_E-3MHS_B,27
3MJH_C-3MJH_D,57
3MK7_D-3MK7_E,707
3MK7_E-3MK7_F,1721
3MK7_G-3MK7_I,916
3MML_A-3MML_B,1913
3MMY_C-3MMY_D,190
3MN5_A-3MN5_S,1
3MSX_A-3MSX_B,320
3MXN_A-3MXN_B,79
3MZK_D-3MZK_C,373
3N3A_B-3N3A_C,177
3N3K_B-3N3K_A,416
3N6R_A-3N6R_B,1689
3N9U_C-3N9U_B,226
3NCE_A-3NCE_B,87
3NFG_C-3NFG_D,116
3NMU_C-3NMU_B,427
3NMU_F-3NMU_A,437
3NMZ_C-3NMZ_A,194
3NY7_B-3NY7_A,2708
3NYB_B-3NYB_A,303
3O4O_A-3O4O_B,57
3O4O_C-3O4O_A,66
3O4O_C-3O4O_B,330
3O65_F-3O65_E,163
3O6Q_A-3O6Q_D,3
3OAK_A-3OAK_D,49
3OC3_A-3OC3_C,149
3OHM_B-3OHM_A,502
3OJY_A-3OJY_C,219
3OLM_A-3OLM_D,210
3OQ3_B-3OQ3_A,62
3OR1_A-3OR1_C,447
3OR1_B-3OR1_C,598
3OTP_I-3OTP_C,33
3OVU_C-3OVU_A,7
3OVU_C-3OVU_B,12
3P5J_A-3P5J_B,306
3P5J_A-3P5J_C,279
3P5J_C-3P5J_B,395
3P71_C-3P71_T,1491
3P8C_D-3P8C_F,79
3P8C_F-3P8C_B,100
3PEV_A-3PEV_B,318
3PHF_4-3PHF_3,16
3PIN_A-3PIN_B,2425
3PNL_A-3PNL_B,931
3PNR_A-3PNR_B,374
3PVL_A-3PVL_B,39
3PXG_F-3PXG_f,244
3PZD_B-3PZD_A,70
3Q33_B-3Q33_A,196
3Q3J_B-3Q3J_A,65
3Q87_A-3Q87_B,1168
3QBT_C-3QBT_D,163
3QDR_B-3QDR_A,3
3QN1_B-3QN1_A,1126
3QVG_B-3QVG_A,347
3QWZ_A-3QWZ_B,165
3R07_A-3R07_C,616
3R2D_J-3R2D_A,1439
3R45_A-3R45_C,10
3R84_V-3R84_U,52
3RFZ_D-3RFZ_E,589
3RFZ_F-3RFZ_E,971
3RGB_A-3RGB_C,45
3RGB_B-3RGB_C,37
3RGB_J-3RGB_I,44
3RKO_F-3RKO_E,1357
3RLF_A-3RLF_G,2379
3RLF_F-3RLF_E,2416
3RLF_G-3RLF_E,2361
3RNQ_A-3RNQ_B,302
3RZO_B-3RZO_K,302
3RZO_C-3RZO_J,403
3RZO_C-3RZO_K,508
3RZO_C-3RZO_L,456
3S8G_A-3S8G_B,652
3S8G_A-3S8G_C,28
3S8G_B-3S8G_C,45
3S9D_A-3S9D_B,61
3SBT_B-3SBT_A,155
3SGJ_A-3SGJ_C,254
3SJA_A-3SJA_D,29
3SJL_B-3SJL_F,2246
3SJL_E-3SJL_B,150
3SQG_B-3SQG_D,22
3SQG_C-3SQG_A,23
3SQG_C-3SQG_B,20
3T12_A-3T12_C,456
3T5V_B-3T5V_C,248
3T6G_A-3T6G_B,93
3T97_C-3T97_B,92
3TBI_B-3TBI_A,33
3TIX_B-3TIX_A,19
3TJZ_A-3TJZ_B,195
3TJZ_C-3TJZ_B,225
3TL8_G-3TL8_K,5
3TND_A-3TND_B,1327
3TNU_A-3TNU_B,137
3TQ7_A-3TQ7_Q,215
3TU5_A-3TU5_B,65
3TUF_B-3TUF_A,475
3TUJ_C-3TUJ_A,1986
3TVJ_B-3TVJ_I,78
3TW8_D-3TW8_C,276
3TX7_B-3TX7_A,102
3U1J_E-3U1J_B,73
3U52_A-3U52_E,33
3U60_C-3U60_G,94
3U6X_D-3U6X_Y,25
3U7U_J-3U7U_D,149
3U88_M-3U88_C,4
3U9Z_A-3U9Z_C,2
3ULY_A-3ULY_B,40
3UTM_B-3UTM_C,37
3V11_A-3V11_B,1109
3V4Y_A-3V4Y_B,19
3V5W_A-3V5W_B,918
3V62_C-3V62_B,1
3V89_B-3V89_A,747
3V96_B-3V96_A,288
3VA2_A-3VA2_C,17
3VEP_A-3VEP_C,21
3VHL_B-3VHL_A,167
3VHX_A-3VHX_B,43
3VIQ_B-3VIQ_A,138
3VMF_A-3VMF_B,548
3VR4_C-3VR4_G,564
3VR4_D-3VR4_G,323
3VR4_G-3VR4_H,590
3VU9_B-3VU9_A,20
3VUX_B-3VUX_E,11
3VYT_A-3VYT_B,548
3VYT_C-3VYT_A,777
3VYT_C-3VYT_B,766
3VZA_A-3VZA_C,46
3VZA_A-3VZA_E,1
3VZA_C-3VZA_E,1
3W15_A-3W15_C,333
3W1S_A-3W1S_B,1
3W1S_A-3W1S_C,273
3W1Y_C-3W1Y_A,132
3W5U_H-3W5U_E,2351
3WDG_A-3WDG_B,5
3WFD_C-3WFD_B,847
3WHL_C-3WHL_D,68
3WKR_A-3WKR_C,5
3WO4_A-3WO4_C,63
3WO4_B-3WO4_C,330
3WRY_D-3WRY_B,485
3WSO_B-3WSO_A,226
3WTP_C-3WTP_F,129
3WTP_H-3WTP_F,130
3WWN_A-3WWN_B,903
3WWQ_D-3WWQ_F,12
3WXF_B-3WXF_A,119
3WXM_A-3WXM_B,668
3WYF_A-3WYF_B,119
3WYF_A-3WYF_C,322
3WYF_E-3WYF_F,268
3WYG_D-3WYG_C,14
3X1L_B-3X1L_A,431
3X1L_C-3X1L_A,879
3X1L_C-3X1L_B,421
3X1L_D-3X1L_G,298
3X1L_F-3X1L_A,315
3ZDL_B-3ZDL_A,13
3ZIA_A-3ZIA_G,1153
3ZIA_D-3ZIA_J,9
3ZIA_E-3ZIA_G,786
3ZIA_G-3ZIA_H,1991
3ZIA_G-3ZIA_I,117
3ZIA_M-3ZIA_T,11
3ZIA_Q-3ZIA_T,33
3ZIA_R-3ZIA_S,106
3ZKJ_E-3ZKJ_D,560
3ZS9_A-3ZS9_D,12
4A49_B-4A49_A,234
4A8J_D-4A8J_E,139
4A8X_A-4A8X_B,100
4A8X_A-4A8X_C,224
4A8X_C-4A8X_B,65
4AF3_A-4AF3_D,171
4AJ5_I-4AJ5_S,29
4ANI_C-4ANI_A,674
4AQR_D-4AQR_A,16
4B0M_M-4B0M_B,3
4B1V_B-4B1V_N,5
4B7Y_A-4B7Y_C,21
4B8C_D-4B8C_A,275
4B8C_D-4B8C_H,227
4B8C_H-4B8C_C,193
4BD9_B-4BD9_A,259
4BFI_B-4BFI_A,366
4BJJ_A-4BJJ_B,190
4BK5_A-4BK5_C,115
4BQ6_A-4BQ6_D,73
4BRU_A-4BRU_B,19
4BRW_A-4BRW_B,11
4BSZ_A-4BSZ_B,541
4BV4_R-4BV4_M,80
4BX9_A-4BX9_C,301
4C0H_B-4C0H_D,56
4C9B_A-4C9B_B,165
4C9R_C-4C9R_D,25
4CCG_A-4CCG_X,315
4CFR_Q-4CFR_B,98
4CGY_A-4CGY_B,344
4CI6_A-4CI6_B,554
4CMM_B-4CMM_A,172
4CO6_C-4CO6_E,3
4CRY_G-4CRY_B,1991
4CT0_A-4CT0_B,14
4CXF_A-4CXF_B,8
4CYM_D-4CYM_A,575
4D0N_A-4D0N_B,313
4D18_E-4D18_H,254
4D18_F-4D18_A,437
4D18_F-4D18_B,377
4D18_J-4D18_I,450
4D18_M-4D18_J,888
4D18_M-4D18_N,356
4DAY_C-4DAY_A,4
4DCK_C-4DCK_A,60
4DCN_A-4DCN_C,113
4DGL_C-4DGL_B,217
4DGW_B-4DGW_A,288
4DGW_B-4DGW_C,184
4DH2_B-4DH2_A,192
4DHI_D-4DHI_B,290
4DI3_E-4DI3_C,936
4DJD_B-4DJD_E,1159
4DJD_B-4DJD_F,1546
4DL0_E-4DL0_G,211
4DL0_E-4DL0_I,199
4DL0_G-4DL0_C,180
4DVG_A-4DVG_B,135
4DX8_H-4DX8_B,32
4DXR_B-4DXR_A,52
4E6K_D-4E6K_H,173
4E6N_A-4E6N_B,120
4EAH_G-4EAH_E,222
4EB5_A-4EB5_C,2566
4EBA_H-4EBA_C,260
4EOZ_C-4EOZ_D,334
4ETP_A-4ETP_B,58
4F0Z_A-4F0Z_B,877
4F4O_D-4F4O_F,813
4F6U_A-4F6U_B,526
