,prefix,Uniprot ID 1,Uniprot ID 2,Sequence Length 1,Sequence Length 2,PDB,Chain 1,Chain 2,N residue contacts (5Ang),PFAM domains 1,PFAM domains 2,Chain start 1,Chain end 1,Chain start 2,Chain end 2,Protein name 1,Gene name 1,Protein name 2,Gene name 2,Organism 1,Organism 2,Resolution (Ang),contains DNA,contains RNA,Org1,Org2,kingdom1,kingdom2
10,allpdb0013,PSBA_THEVL,PSBI_THEVL,360,38,4UB8,A,I,53,PF00124;,PF02532;,1,344,1,38,Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein),psbA psbA-1,Photosystem II reaction center protein I (PSII-I) (PSII 4.4 kDa protein),psbI,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
11,allpdb0014,PSBB_THEVL,PSBO_THEVL,505,244,4UB8,B,O,50,PF00421;,PF01716;,1,505,1,244,Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47) (Fragment),psbB,Photosystem II manganese-stabilizing polypeptide (MSP),psbO,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
12,allpdb0015,PSBK_THEVL,YCF12_THEVL,37,30,4UB8,K,Y,26,PF02533;,PF05969;,1,37,1,30,Photosystem II reaction center protein K (PSII-K) (Fragment),psbK,Photosystem II reaction center protein Ycf12 (Fragment),ycf12 psbY,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
13,allpdb0016,PSBB_THEVL,PSBU_THEVL,505,104,4UB8,B,U,24,PF00421;,PF06514;,1,505,1,104,Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47) (Fragment),psbB,Photosystem II 12 kDa extrinsic protein (PS II complex 12 kDa extrinsic protein) (PSII-U),psbU,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
14,allpdb0017,PSBB_THEVL,PSBL_THEVL,505,37,4UB8,B,L,34,PF00421;,PF02419;,1,505,1,37,Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47) (Fragment),psbB,Photosystem II reaction center protein L (PSII-L),psbL,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
15,allpdb0018,PSBL_THEVL,PSBM_THEVL,37,36,4UB8,l,m,48,PF02419;,PF05151;,1,37,1,36,Photosystem II reaction center protein L (PSII-L),psbL,Photosystem II reaction center protein M (PSII-M),psbM,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
16,allpdb0019,PSBO_THEVL,PSBU_THEVL,244,104,4UB8,o,u,31,PF01716;,PF06514;,1,244,1,104,Photosystem II manganese-stabilizing polypeptide (MSP),psbO,Photosystem II 12 kDa extrinsic protein (PS II complex 12 kDa extrinsic protein) (PSII-U),psbU,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
17,allpdb0020,PSBU_THEVL,CY550_THEVL,104,163,4UB8,U,V,40,PF06514;,PF14495;,1,104,27,163,Photosystem II 12 kDa extrinsic protein (PS II complex 12 kDa extrinsic protein) (PSII-U),psbU,Cytochrome c-550 (Cytochrome c550) (Low-potential cytochrome c),psbV,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
18,allpdb0021,PSBE_THEVL,PSBY_THEVL,84,34,4UB8,E,R,38,PF00283;PF00284;,PF06298;,1,84,1,34,Cytochrome b559 subunit alpha (PSII reaction center subunit V),psbE,Photosystem II protein Y (Fragment),psbY,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
19,allpdb0023,PSBA_THEVL,PSBT_THEVL,360,32,4UB8,A,T,21,PF00124;,PF01405;,1,344,1,31,Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein),psbA psbA-1,Photosystem II reaction center protein T (PSII-T) (PSII-Tc),psbT,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
20,allpdb0024,PSBE_THEVL,PSBJ_THEVL,84,40,4UB8,e,j,33,PF00283;PF00284;,PF01788;,1,84,2,40,Cytochrome b559 subunit alpha (PSII reaction center subunit V),psbE,Photosystem II reaction center protein J (PSII-J),psbJ,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
21,allpdb0025,PSBZ_THEVL,YCF12_THEVL,62,30,4UB8,Z,Y,21,PF01737;,PF05969;,1,62,1,30,Photosystem II reaction center protein Z (PSII-Z),psbZ,Photosystem II reaction center protein Ycf12 (Fragment),ycf12 psbY,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
22,allpdb0026,PSBA_THEVL,CY550_THEVL,360,163,4UB8,A,V,33,PF00124;,PF14495;,1,344,27,163,Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein),psbA psbA-1,Cytochrome c-550 (Cytochrome c550) (Low-potential cytochrome c),psbV,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
23,allpdb0027,PSBT_THEVL,PSBL_THEVL,32,37,4UB8,T,L,33,PF01405;,PF02419;,1,31,1,37,Photosystem II reaction center protein T (PSII-T) (PSII-Tc),psbT,Photosystem II reaction center protein L (PSII-L),psbL,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
24,allpdb0028,PSBA_THEVL,PSBB_THEVL,360,505,4UB8,A,B,53,PF00124;,PF00421;,1,344,1,505,Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein),psbA psbA-1,Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47) (Fragment),psbB,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
25,allpdb0029,PSBB_THEVL,PSBH_THEVL,505,65,4UB8,B,H,127,PF00421;,PF00737;,1,505,1,65,Photosystem II CP47 reaction center protein (PSII 47 kDa protein) (Protein CP-47) (Fragment),psbB,Photosystem II reaction center protein H (PSII-H) (Fragment),psbH,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
26,allpdb0030,PSBA_THEVL,PSBO_THEVL,360,244,4UB8,A,O,41,PF00124;,PF01716;,1,344,1,244,Photosystem II protein D1 (PSII D1 protein) (EC 1.10.3.9) (Photosystem II Q(B) protein),psbA psbA-1,Photosystem II manganese-stabilizing polypeptide (MSP),psbO,Thermosynechococcus vulcanus (Synechococcus vulcanus),Thermosynechococcus vulcanus (Synechococcus vulcanus),1.95,N,N,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
27,allpdb0031,PSBF_THEEB,PSBJ_THEEB,45,40,5H2F,F,J,20,PF00283;,PF01788;,13,45,1,40,Cytochrome b559 subunit beta (PSII reaction center subunit VI),psbF tsr1542,Photosystem II reaction center protein J (PSII-J),psbJ tsr1544,Thermosynechococcus elongatus (strain BP-1),Thermosynechococcus elongatus (strain BP-1),2.2,N,N,Thermosynechococcus elongatus,Thermosynechococcus elongatus,B,B
28,allpdb0033,RFC1_YEAST,PCNA_YEAST,861,258,1SXJ,A,G,71,PF00004;PF00533;PF08519;,PF02747;PF00705;,295,785,1,258,Replication factor C subunit 1 (Replication factor C1) (Activator 1 95 kDa subunit) (Cell division control protein 44),RFC1 CDC44 YOR217W YOR50-7,Proliferating cell nuclear antigen (PCNA),POL30 YBR088C YBR0811,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.85,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
29,allpdb0034,RFC4_YEAST,PCNA_YEAST,323,258,1SXJ,B,G,19,PF00004;PF08542;,PF02747;PF00705;,1,323,1,258,Replication factor C subunit 4 (Replication factor C4) (Activator 1 37 kDa subunit),RFC4 YOL094C O0923,Proliferating cell nuclear antigen (PCNA),POL30 YBR088C YBR0811,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),2.85,N,N,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
30,allpdb0036,H2A1B_HUMAN,H4_HUMAN,130,103,3WTP,C,F,23,PF00125;PF16211;,PF15511;,1,130,1,103,Histone H2A type 1-B/E (Histone H2A.2) (Histone H2A/a) (Histone H2A/m),HIST1H2AB H2AFM; HIST1H2AE H2AFA,Histone H4,HIST1H4A H4/A H4FA; HIST1H4B H4/I H4FI; HIST1H4C H4/G H4FG; HIST1H4D H4/B H4FB; HIST1H4E H4/J H4FJ; HIST1H4F H4/C H4FC; HIST1H4H H4/H H4FH; HIST1H4I H4/M H4FM; HIST1H4J H4/E H4FE; HIST1H4K H4/D H4FD; HIST1H4L H4/K H4FK; HIST2H4A H4/N H4F2 H4FN HIST2H4; HIST2H4B H4/O H4FO; HIST4H4,Homo sapiens (Human),Homo sapiens (Human),2.67,Y,N,Homo sapiens,Homo sapiens,E,E
31,allpdb0037,H2B1J_HUMAN,H4_HUMAN,126,103,3WTP,H,F,23,PF00125;,PF15511;,1,126,1,103,Histone H2B type 1-J (Histone H2B.1) (Histone H2B.r) (H2B/r),HIST1H2BJ H2BFR,Histone H4,HIST1H4A H4/A H4FA; HIST1H4B H4/I H4FI; HIST1H4C H4/G H4FG; HIST1H4D H4/B H4FB; HIST1H4E H4/J H4FJ; HIST1H4F H4/C H4FC; HIST1H4H H4/H H4FH; HIST1H4I H4/M H4FM; HIST1H4J H4/E H4FE; HIST1H4K H4/D H4FD; HIST1H4L H4/K H4FK; HIST2H4A H4/N H4F2 H4FN HIST2H4; HIST2H4B H4/O H4FO; HIST4H4,Homo sapiens (Human),Homo sapiens (Human),2.67,Y,N,Homo sapiens,Homo sapiens,E,E
32,allpdb0039,CY1_BOVIN,QCR6_BOVIN,325,91,2FYU,D,H,70,PF02167;,PF02320;,85,325,14,91,"Cytochrome c1, heme protein, mitochondrial (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",CYC1,"Cytochrome b-c1 complex subunit 6, mitochondrial (Complex III subunit 6) (Complex III subunit VIII) (Cytochrome c1 non-heme 11 kDa protein) (Mitochondrial hinge protein) (Ubiquinol-cytochrome c reductase complex 11 kDa protein)",UQCRH,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
33,allpdb0040,CY1_BOVIN,QCR8_BOVIN,325,82,2FYU,D,G,49,PF02167;,PF02939;,85,325,2,82,"Cytochrome c1, heme protein, mitochondrial (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",CYC1,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),UQCRQ,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
34,allpdb0041,CY1_BOVIN,QCR9_BOVIN,325,64,2FYU,D,J,55,PF02167;,PF05365;,85,325,2,63,"Cytochrome c1, heme protein, mitochondrial (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",CYC1,Cytochrome b-c1 complex subunit 9 (Complex III subunit 9) (Complex III subunit X) (Cytochrome c1 non-heme 7 kDa protein) (Ubiquinol-cytochrome c reductase complex 7.2 kDa protein),UQCR10,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
35,allpdb0042,CYB_BOVIN,CY1_BOVIN,379,325,2FYU,C,D,96,PF00032;PF00033;,PF02167;,1,379,85,325,Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit),MT-CYB COB CYTB MTCYB,"Cytochrome c1, heme protein, mitochondrial (Complex III subunit 4) (Complex III subunit IV) (Cytochrome b-c1 complex subunit 4) (Ubiquinol-cytochrome-c reductase complex cytochrome c1 subunit) (Cytochrome c-1)",CYC1,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
36,allpdb0043,CYB_BOVIN,UCRI_BOVIN,379,274,2FYU,C,E,81,PF00032;PF00033;,PF00355;PF09165;PF02921;,1,379,1,274,Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit),MT-CYB COB CYTB MTCYB,"Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 1.10.2.2) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (Ubiquinol-cytochrome c reductase 8 kDa protein)]",UQCRFS1,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
37,allpdb0044,CYB_BOVIN,QCR7_BOVIN,379,111,2FYU,C,F,78,PF00032;PF00033;,PF02271;,1,379,2,111,Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit),MT-CYB COB CYTB MTCYB,Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein),UQCRB,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
38,allpdb0045,UCRI_BOVIN,QCR1_BOVIN,274,480,2FYU,I,A,90,PF00355;PF09165;PF02921;,PF00675;PF05193;,1,274,35,480,"Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 1.10.2.2) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (Ubiquinol-cytochrome c reductase 8 kDa protein)]",UQCRFS1,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)",UQCRC1,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
39,allpdb0046,CYB_BOVIN,QCR8_BOVIN,379,82,2FYU,C,G,62,PF00032;PF00033;,PF02939;,1,379,2,82,Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit),MT-CYB COB CYTB MTCYB,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),UQCRQ,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
40,allpdb0047,QCR9_BOVIN,QCR10_BOVIN,64,56,2FYU,J,K,35,PF05365;,PF08997;,2,63,1,56,Cytochrome b-c1 complex subunit 9 (Complex III subunit 9) (Complex III subunit X) (Cytochrome c1 non-heme 7 kDa protein) (Ubiquinol-cytochrome c reductase complex 7.2 kDa protein),UQCR10,Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 6.4 kDa protein),UQCR11 UQCR,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
41,allpdb0048,CYB_BOVIN,QCR1_BOVIN,379,480,2FYU,C,A,24,PF00032;PF00033;,PF00675;PF05193;,1,379,35,480,Cytochrome b (Complex III subunit 3) (Complex III subunit III) (Cytochrome b-c1 complex subunit 3) (Ubiquinol-cytochrome-c reductase complex cytochrome b subunit),MT-CYB COB CYTB MTCYB,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)",UQCRC1,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
42,allpdb0049,QCR1_BOVIN,QCR10_BOVIN,480,56,2FYU,A,K,22,PF00675;PF05193;,PF08997;,35,480,1,56,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)",UQCRC1,Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 6.4 kDa protein),UQCR11 UQCR,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
43,allpdb0050,QCR1_BOVIN,QCR8_BOVIN,480,82,2FYU,A,G,65,PF00675;PF05193;,PF02939;,35,480,2,82,"Cytochrome b-c1 complex subunit 1, mitochondrial (Complex III subunit 1) (Core protein I) (Ubiquinol-cytochrome-c reductase complex core protein 1)",UQCRC1,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),UQCRQ,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
44,allpdb0051,QCR7_BOVIN,QCR8_BOVIN,111,82,2FYU,F,G,21,PF02271;,PF02939;,2,111,2,82,Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein),UQCRB,Cytochrome b-c1 complex subunit 8 (Complex III subunit 8) (Complex III subunit VIII) (Ubiquinol-cytochrome c reductase complex 9.5 kDa protein) (Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C),UQCRQ,Bos taurus (Bovine),Bos taurus (Bovine),2.26,N,N,Bos taurus,Bos taurus,E,E
45,allpdb0052,UCRI_CHICK,D0VX26_CHICK,272,241,3L75,E,D,42,PF00355;PF09165;PF02921;,PF02167;,45,272,1,241,"Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 1.10.2.2) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (Complex III subunit IX)]",UQCRFS1 RCJMB04_5b19,"Mitochondrial cytochrome c1, heme protein (EC 1.10.2.2)",,Gallus gallus (Chicken),Gallus gallus (Chicken),2.79,N,N,Gallus gallus,Gallus gallus,E,E
