id1,id2,n_unique1,n_unique2,n_matching_ox,ncombos_total,median_combos,std_combos,Org1,Org2,kingdom1,kingdom2
4UB8_A,4UB8_O,10322,643,564,4607.0,4.0,22.213862127400546,Thermosynechococcus vulcanus,Thermosynechococcus vulcanus,B,B
5H2F_F,5H2F_J,5087,5566,4944,5576.0,1.0,0.7578086429421149,Thermosynechococcus elongatus,Thermosynechococcus elongatus,B,B
1SXJ_A,1SXJ_G,21493,14691,12864,302243.0,2.0,728.0658346507707,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
1SXJ_B,1SXJ_G,23136,14691,13840,352548.0,2.0,856.3004484105215,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3WTP_C,3WTP_F,2351,3361,2024,109359.0,9.0,390.2657875098806,Homo sapiens,Homo sapiens,E,E
3WTP_H,3WTP_F,2129,3361,1969,70788.0,4.0,243.70178359899293,Homo sapiens,Homo sapiens,E,E
2FYU_D,2FYU_H,7384,1294,1198,3759.0,1.0,17.76169168950695,Bos taurus,Bos taurus,E,E
2FYU_D,2FYU_G,7384,1068,988,2990.0,1.0,33.007227091543854,Bos taurus,Bos taurus,E,E
2FYU_D,2FYU_J,7384,916,867,2100.0,1.0,8.758551254652735,Bos taurus,Bos taurus,E,E
2FYU_C,2FYU_D,20698,7384,91,1285.0,3.0,26.192791208938733,Bos taurus,Bos taurus,E,E
2FYU_C,2FYU_E,20698,16001,126,3190.0,4.0,91.94051310007777,Bos taurus,Bos taurus,E,E
2FYU_C,2FYU_F,20698,1342,107,1936.0,3.0,47.94165704860428,Bos taurus,Bos taurus,E,E
2FYU_I,2FYU_A,133,18835,122,2458.0,9.0,39.37954701950538,Bos taurus,Bos taurus,E,E
2FYU_C,2FYU_G,20698,1068,92,1197.0,2.0,25.451785008392267,Bos taurus,Bos taurus,E,E
2FYU_J,2FYU_K,916,315,219,354.0,1.0,1.364555929769624,Bos taurus,Bos taurus,E,E
2FYU_C,2FYU_A,20698,18835,123,12341.0,12.0,272.5109281516241,Bos taurus,Bos taurus,E,E
2FYU_A,2FYU_K,18835,315,304,4095.0,6.0,61.78197375791042,Bos taurus,Bos taurus,E,E
2FYU_A,2FYU_G,18835,1068,1042,11192.0,5.0,99.21478686765188,Bos taurus,Bos taurus,E,E
2FYU_F,2FYU_G,1342,1068,994,2319.0,1.0,18.33603113799047,Bos taurus,Bos taurus,E,E
3L75_E,3L75_D,15933,7366,7179,201959.0,3.0,735.312244154303,Gallus gallus,Gallus gallus,E,E
3L75_R,3L75_T,15933,1055,996,4994.0,2.0,49.24669278452824,Gallus gallus,Gallus gallus,E,E
3L75_E,3L75_J,15933,919,882,3573.0,2.0,11.997859979324806,Gallus gallus,Gallus gallus,E,E
3L75_H,3L75_G,1295,1057,951,1884.0,1.0,2.9559790423541052,Gallus gallus,Gallus gallus,E,E
3L75_Q,3L75_S,7366,1343,1244,10331.0,1.0,208.59893889819267,Gallus gallus,Gallus gallus,E,E
1JB0_D,1JB0_C,758,17612,706,2413.0,2.0,11.365778809329539,Thermosynechococcus elongatus,Thermosynechococcus elongatus,B,B
1JB0_J,1JB0_F,4737,766,650,1041.0,1.0,2.2228874020891984,Thermosynechococcus elongatus,Thermosynechococcus elongatus,B,B
1JB0_A,1JB0_C,7658,17612,4862,63225.0,2.0,623.1169974065563,Thermosynechococcus elongatus,Thermosynechococcus elongatus,B,B
1JB0_D,1JB0_L,758,773,708,1185.0,1.0,2.7073950193617278,Thermosynechococcus elongatus,Thermosynechococcus elongatus,B,B
1JB0_A,1JB0_D,7658,758,710,3367.0,2.0,12.398309311953867,Thermosynechococcus elongatus,Thermosynechococcus elongatus,B,B
1JB0_E,1JB0_C,730,17612,680,2333.0,2.0,10.02634408406382,Thermosynechococcus elongatus,Thermosynechococcus elongatus,B,B
1JB0_A,1JB0_E,7658,730,693,4042.0,2.0,19.202895666556106,Thermosynechococcus elongatus,Thermosynechococcus elongatus,B,B
1JB0_A,1JB0_F,7658,766,707,3665.0,2.0,16.290506957928525,Thermosynechococcus elongatus,Thermosynechococcus elongatus,B,B
2J3T_A,2J3T_C,1550,1505,1449,21297.0,9.0,36.06639841850463,Mus musculus,Mus musculus,E,E
1K8K_A,1K8K_F,20474,1267,1253,44472.0,11.0,195.32168644446284,Bos taurus,Bos taurus,E,E
1K8K_D,1K8K_F,1314,1267,1182,4146.0,1.0,33.11809652830722,Bos taurus,Bos taurus,E,E
1K8K_A,1K8K_E,20474,1239,1231,62571.0,11.0,356.32587173650353,Bos taurus,Bos taurus,E,E
1K8K_C,1K8K_F,3309,1267,1243,56902.0,21.0,132.39610209051014,Bos taurus,Bos taurus,E,E
1K8K_A,1K8K_D,20474,1314,1298,74202.0,11.0,610.9470672611245,Bos taurus,Bos taurus,E,E
1K8K_G,1K8K_F,1259,1267,1163,2681.0,1.0,5.095024633380504,Bos taurus,Bos taurus,E,E
1K8K_C,1K8K_G,3309,1259,1246,60088.0,21.0,105.44704603438143,Bos taurus,Bos taurus,E,E
2Y69_N,2Y69_S,43233,1351,433,5530.0,2.0,96.77535670245294,Bos taurus,Bos taurus,E,E
2Y69_E,2Y69_I,1112,319,289,1260.0,2.0,17.913534578304454,Bos taurus,Bos taurus,E,E
2Y69_B,2Y69_I,40450,319,273,2962.0,3.0,45.77268418153531,Bos taurus,Bos taurus,E,E
2Y69_E,2Y69_D,1112,1183,1022,6909.0,1.0,124.24185061149551,Bos taurus,Bos taurus,E,E
2Y69_B,2Y69_E,40450,1112,523,6880.0,2.0,112.08985107190156,Bos taurus,Bos taurus,E,E
2Y69_O,2Y69_U,40451,1310,677,8247.0,2.0,85.95672928872581,Bos taurus,Bos taurus,E,E
2Y69_M,2Y69_L,183,893,136,558.0,2.0,5.812359311092672,Bos taurus,Bos taurus,E,E
2Y69_A,2Y69_M,43233,183,146,3254.0,3.0,162.49674217615726,Bos taurus,Bos taurus,E,E
2Y69_C,2Y69_G,26427,1199,496,7474.0,2.0,202.94476082491002,Bos taurus,Bos taurus,E,E
2Y69_A,2Y69_D,43233,1183,372,8269.0,2.0,270.6796284005635,Bos taurus,Bos taurus,E,E
2Y69_A,2Y69_B,43233,40450,17321,366348.0,1.0,1751.1036152353245,Bos taurus,Bos taurus,E,E
2Y69_B,2Y69_D,40450,1183,573,9066.0,2.0,153.29847378383664,Bos taurus,Bos taurus,E,E
2Y69_Q,2Y69_X,1183,142,138,897.0,3.0,10.644621694287345,Bos taurus,Bos taurus,E,E
2Y69_P,2Y69_S,26427,1351,600,6143.0,2.0,78.30009491621891,Bos taurus,Bos taurus,E,E
2Y69_A,2Y69_T,43233,1199,405,8519.0,2.0,259.84376842680945,Bos taurus,Bos taurus,E,E
2Y69_N,2Y69_Y,43233,893,258,4520.0,2.0,163.84877224763468,Bos taurus,Bos taurus,E,E
2Y69_N,2Y69_P,43233,26427,12358,470135.0,1.0,3306.3266916802345,Bos taurus,Bos taurus,E,E
3X1L_C,3X1L_B,1778,744,728,3013.0,2.0,5.608444824372048,Archaeoglobus fulgidus,Pyrococcus furiosus,A,A
3X1L_D,3X1L_G,1785,495,484,1481.0,2.0,4.292811210890063,Archaeoglobus fulgidus,Archaeoglobus fulgidus,A,A
3X1L_B,3X1L_A,744,2525,724,2023.0,1.0,3.777721775990704,Pyrococcus furiosus,Pyrococcus furiosus,A,A
3X1L_F,3X1L_A,496,2525,474,989.0,1.0,2.898949899539097,Archaeoglobus fulgidus,Pyrococcus furiosus,A,A
3X1L_C,3X1L_A,1778,2525,1581,7355.0,2.0,9.398031789639079,Archaeoglobus fulgidus,Pyrococcus furiosus,A,A
1PRT_E,1PRT_F,15,15,15,20.0,1.0,1.247219128924647,Bordetella pertussis,Bordetella pertussis,B,B
1PRT_B,1PRT_F,21,15,15,67.0,3.0,5.239168721170267,Bordetella pertussis,Bordetella pertussis,B,B
1PRT_G,1PRT_K,627,15,15,47.0,1.0,7.982202425117742,Bordetella pertussis,Bordetella pertussis,B,B
1PRT_G,1PRT_L,627,15,15,36.0,1.0,5.238320341483519,Bordetella pertussis,Bordetella pertussis,B,B
1PRT_B,1PRT_D,21,15,15,79.0,3.0,8.225704968099826,Bordetella pertussis,Bordetella pertussis,B,B
4H44_B,4H44_G,29657,4775,4486,6235.0,1.0,2.4086104891426268,Nostoc sp.,Nostoc sp.,B,B
4H44_A,4H44_G,32593,4775,4469,6259.0,1.0,2.322751679819543,Nostoc sp.,Nostoc sp.,B,B
4H44_B,4H44_C,29657,4933,4674,8127.0,1.0,8.001364283831983,Nostoc sp.,Nostoc sp.,B,B
4H44_G,4H44_F,4775,597,495,671.0,1.0,2.012798555417645,Nostoc sp.,Nostoc sp.,B,B
4H44_A,4H44_D,32593,15963,9969,399866.0,3.0,1342.6471225703406,Nostoc sp.,Nostoc sp.,B,B
4H44_C,4H44_E,4933,345,341,385.0,1.0,0.8602028347128253,Nostoc sp.,Nostoc sp.,B,B
4H44_B,4H44_A,29657,32593,23440,491203.0,1.0,318.1591261775651,Nostoc sp.,Nostoc sp.,B,B
1U35_C,1U35_F,2346,3369,2025,114992.0,9.0,390.02323603641344,Homo sapiens,Mus musculus,E,E
4GAM_I,4GAM_M,1007,43,42,74.0,1.0,1.5245533898649641,Methylococcus capsulatus,Methylococcus capsulatus,B,B
4GAM_L,4GAM_I,1324,1007,999,14104.0,2.0,291.3208057690628,Methylococcus capsulatus,Methylococcus capsulatus,B,B
4GAM_B,4GAM_C,1324,43,43,186.0,2.0,4.892903880407798,Methylococcus capsulatus,Methylococcus capsulatus,B,B
2WJN_L,2WJN_C,10074,620,350,14578.0,4.0,640.6383099786062,Blastochloris viridis,Blastochloris viridis,B,B
2WJN_L,2WJN_H,10074,3205,651,9537.0,4.0,188.8152330687601,Blastochloris viridis,Blastochloris viridis,B,B
3GE3_A,3GE3_C,1477,181,181,6139.0,4.0,377.93848893618997,Pseudomonas mendocina,Pseudomonas mendocina,B,B
3ZIA_M,3ZIA_T,29533,691,661,1247.0,1.0,3.5037240111293277,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3ZIA_A,3ZIA_G,29533,20010,19654,402637.0,2.0,727.6308871514793,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3ZIA_R,3ZIA_S,26586,1107,1008,2889.0,1.0,7.891182016272695,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3ZIA_E,3ZIA_G,38138,20010,19489,295079.0,2.0,432.88138215695216,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3ZIA_G,3ZIA_H,20010,26586,19042,169644.0,1.0,249.0663821327205,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3ZIA_G,3ZIA_I,20010,1107,1057,3249.0,1.0,11.32391597151918,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3ZIA_Q,3ZIA_T,20010,691,657,1083.0,1.0,2.5724748437628517,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3ZIA_D,3ZIA_J,38139,691,656,1158.0,1.0,3.1136617630465167,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
4I6M_A,4I6M_D,20197,50,46,549.0,10.0,7.221351715912674,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
4I6M_A,4I6M_C,20197,1011,988,80264.0,11.0,1050.0474066932256,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
4P1B_I,4P1B_A,14164,1495,1123,219196.0,14.0,4058.881442684187,Pseudomonas mendocina,Pseudomonas mendocina,B,B
5LXT_A,5LXT_E,16140,331,326,78351.0,53.0,859.7771312115484,Bos taurus,Rattus norvegicus,E,E
5LXT_A,5LXT_F,16140,7496,2625,523057.0,6.0,3939.498669425309,Bos taurus,Gallus gallus,E,E
5T5I_C,5T5I_A,14578,17230,12244,792933.0,3.0,2022.6452405133255,Methanothermobacter wolfeii,Methanothermobacter wolfeii,A,A
5T5I_B,5T5I_A,13426,17230,11157,1905876.0,8.0,5444.396582999847,Methanothermobacter sp. CaT2,Methanothermobacter wolfeii,A,A
5T5I_F,5T5I_B,12478,13426,7777,1860290.0,6.0,11287.559509157525,Methanothermobacter wolfeii,Methanothermobacter sp. CaT2,A,
5T5I_B,5T5I_G,13426,15352,9941,957205.0,6.0,2671.270939355534,Methanothermobacter sp. CaT2,Methanothermobacter wolfeii,A,A
5T5I_B,5T5I_D,13426,12936,12506,3575799.0,9.0,13419.297021613123,Methanothermobacter sp. CaT2,Methanothermobacter wolfeii,A,A
5T5I_J,5T5I_K,13426,14578,10700,740001.0,4.0,1987.9878319215395,Methanothermobacter sp. CaT2,Methanothermobacter wolfeii,A,A
2WDQ_E,2WDQ_F,19835,19259,17806,1549381.0,5.0,3060.744146710141,Escherichia coli,Escherichia coli,B,B
2WDQ_C,2WDQ_B,11657,19259,11101,181056.0,3.0,417.20178999386786,Escherichia coli,Escherichia coli,B,B
2YPA_C,2YPA_D,1732,379,375,211643.0,103.0,1943.540990027795,Homo sapiens,Homo sapiens,E,E
2YPA_A,2YPA_C,1758,1732,1154,3529078.0,43.5,19029.85643064135,Homo sapiens,Homo sapiens,E,E
3MHS_A,3MHS_E,3700,84,83,1850.0,17.0,29.695454246452922,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3MHS_C,3MHS_B,868,828,618,1756.0,1.0,6.740744529154247,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3MHS_A,3MHS_B,3700,828,820,83464.0,29.0,345.54315713725015,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3MHS_D,3MHS_A,2745,3700,1689,4256109.0,306.0,21765.99454771336,Homo sapiens,Saccharomyces cerevisiae,E,E
3MHS_E,3MHS_B,84,828,54,71.0,1.0,1.5374832016435418,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3MHS_A,3MHS_C,3700,868,862,82925.0,25.0,425.8810715437861,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3RKO_F,3RKO_E,17755,31116,16590,248443.0,1.0,661.0794979827405,Escherichia coli,Escherichia coli,B,B
3RZO_C,3RZO_L,21305,2308,2167,33820.0,2.0,421.49085554738815,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3RZO_B,3RZO_K,38996,2511,2306,53460.0,6.0,604.2718578746396,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3RZO_C,3RZO_K,21305,2511,2374,45385.0,4.0,656.02481107245,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3RZO_A,3RZO_K,40589,2511,2342,84463.0,6.0,1174.306997567682,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3RZO_B,3RZO_A,38996,40589,23601,339474.0,1.0,504.309199791216,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
3RZO_C,3RZO_J,21305,2250,2123,37889.0,2.0,637.1725088635571,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
4HUQ_T,4HUQ_S,10812,5257,5030,229346.0,6.0,809.2858117808913,Lactobacillus brevis,Lactobacillus brevis,B,B
4HUQ_A,4HUQ_T,14548,10812,9664,518924.0,8.0,1560.033169754257,Lactobacillus brevis,Lactobacillus brevis,B,B
4IIQ_B,4IIQ_A,717,555,401,26728772.0,100.0,591200.567719545,Homo sapiens,Homo sapiens,E,E
4IIQ_C,4IIQ_A,915,555,228,54836724.0,653.0,3073418.5907119964,Bos taurus,Homo sapiens,E,E
4P6Z_M,4P6Z_B,2385,3648,1617,472224.0,81.0,1790.1894189454306,Mus musculus,Homo sapiens,E,E
4P6Z_S,4P6Z_G,1697,3449,1542,458482.0,78.0,1613.8369743949766,Homo sapiens,Mus musculus,E,E
4P6Z_V,4P6Z_S,1,1697,0,0.0,,,Human immunodeficiency virus type 1 group M subtype B,Homo sapiens,V,E
4P6Z_M,4P6Z_G,2385,3449,1611,411638.0,66.0,1500.4717648940625,Mus musculus,Mus musculus,E,E
4U7U_V,4U7U_M,1861,1830,1778,13009.0,1.0,219.2826513290904,Escherichia coli,Escherichia coli,B,B
4U7U_V,4U7U_W,1861,2372,1779,9497.0,1.0,138.7696201236192,Escherichia coli,Escherichia coli,B,B
4U7U_E,4U7U_B,1861,497,481,1509.0,1.0,36.01140220986217,Escherichia coli,Escherichia coli,B,B
4U7U_P,4U7U_U,1917,1861,1794,9642.0,1.0,138.20580335423526,Escherichia coli,Escherichia coli,B,B
4U7U_A,4U7U_K,1830,2372,1743,12382.0,1.0,207.45182991499647,Escherichia coli,Escherichia coli,B,B
4U7U_A,4U7U_B,1830,497,469,1916.0,1.0,53.98393878823573,Escherichia coli,Escherichia coli,B,B
4UQI_S,4UQI_B,1637,3488,1543,505335.0,88.0,2105.088829111124,Mus musculus,Homo sapiens,E,E
4UQI_M,4UQI_A,2383,2371,1609,358059.0,56.0,1290.146975469555,Rattus norvegicus,Rattus norvegicus,E,E
4UQI_S,4UQI_A,1637,2371,1534,379016.0,63.0,1421.5709603768012,Mus musculus,Rattus norvegicus,E,E
1B33_E,1B33_N,2853,451,383,24905.0,45.0,188.86884489388217,Mastigocladus laminosus,Mastigocladus laminosus,B,B
1J34_C,1J34_A,0,1861,0,0.0,,,Bos taurus,Protobothrops flavoviridis,E,E
1SR4_B,1SR4_A,8712,741,522,7305.0,2.0,101.1905847879592,Haemophilus ducreyi,Haemophilus ducreyi,B,B
1XF6_C,1XF6_A,2707,14,10,152.0,3.5,25.72469630530164,Rhodomonas sp.,Rhodomonas sp.,E,E
1YTZ_I,1YTZ_C,497,6217,463,260487.0,104.0,1520.19236339461,Gallus gallus,Gallus gallus,E,E
2BA1_E,2BA1_B,21483,19796,18031,1199311.0,6.0,2719.0911213531213,Archaeoglobus fulgidus,Archaeoglobus fulgidus,A,A
2D1P_D,2D1P_F,8255,3453,3425,58425.0,3.0,270.4184733902364,Escherichia coli,Escherichia coli,B,B
2GAG_A,2GAG_C,19280,11849,11841,1217757.0,3.0,2332.069874053921,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,B,B
2GAG_B,2GAG_D,13591,2927,2918,195639.0,12.0,734.3909672991443,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,B,B
2GAG_A,2GAG_D,19280,2927,2921,162019.0,7.0,656.1624448854441,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,B,B
2GAG_B,2GAG_A,13591,19280,12771,1685670.0,6.0,2639.746128807558,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,B,B
2GAG_D,2GAG_C,2927,11849,2913,137397.0,5.0,591.0074651510395,Stenotrophomonas maltophilia,Stenotrophomonas maltophilia,B,B
2J3W_D,2J3W_C,1550,1515,1462,25633.0,12.0,40.921164105326056,Mus musculus,Mus musculus,E,E
2NUT_A,2NUT_C,1892,1538,1477,93983.0,10.0,372.18725121370034,Homo sapiens,Homo sapiens,E,E
2OI9_A,2OI9_B,624,535,214,43271935.0,606.0,2478078.651073745,Mus musculus,Mus musculus,E,E
2WP8_A,2WP8_J,20153,18771,16135,361922.0,2.0,700.9027553735283,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
2WTK_E,2WTK_D,5775,1335,1320,208204.0,25.0,743.2034255901939,Homo sapiens,Homo sapiens,E,E
2ZZD_J,2ZZD_L,1871,2372,1831,15697.0,1.0,146.81622840917547,Thiobacillus thioparus,Thiobacillus thioparus,B,B
3BG4_C,3BG4_D,3764,32,20,6669.0,82.5,533.1835026517606,Bos taurus,Hirudo nipponia,E,E
3OJY_A,3OJY_C,1056,4535,544,210335.0,27.0,3007.162335736101,Homo sapiens,Homo sapiens,E,E
3P8C_D,3P8C_A,652,627,545,13941.0,6.0,140.5246837697569,Homo sapiens,Homo sapiens,E,E
3P8C_A,3P8C_B,627,907,547,7907.0,3.0,49.39694186795818,Homo sapiens,Homo sapiens,E,E
3P8C_D,3P8C_F,652,530,504,19765.0,4.0,235.63975492342462,Homo sapiens,Homo sapiens,E,E
3P8C_A,3P8C_F,627,530,507,16270.0,4.0,130.3024991126794,Homo sapiens,Homo sapiens,E,E
3P8C_F,3P8C_B,530,907,493,9869.0,2.0,78.5414302074132,Homo sapiens,Homo sapiens,E,E
3RLF_F,3RLF_E,10732,11911,9767,1370665.0,9.0,2060.758721355185,Escherichia coli,Escherichia coli,B,B
3RLF_B,3RLF_F,14745,10732,9380,845321.0,12.0,1577.8400357328308,Escherichia coli,Escherichia coli,B,B
3RLF_G,3RLF_E,10688,11911,9646,1340708.0,8.0,1970.541508032248,Escherichia coli,Escherichia coli,B,B
3RLF_A,3RLF_G,14745,10688,9486,785373.0,10.0,1384.0712783670547,Escherichia coli,Escherichia coli,B,B
3TQ7_A,3TQ7_Q,1424,1521,1379,53390.0,4.0,276.91075277237786,Homo sapiens,Homo sapiens,E,E
4F4O_D,4F4O_F,9521,3591,2195,6237286.0,5.0,118867.43517717485,Sus scrofa,Sus scrofa,E,E
4G91_B,4G91_A,2469,1251,1230,71913.0,5.0,345.4979746106244,Emericella nidulans,Emericella nidulans,E,E
4LNU_A,4LNU_K,16666,1749,1599,2388757.0,99.0,21719.48785310264,Ovis aries,Homo sapiens,E,E
4XS0_A,4XS0_C,9547,600,389,140186.0,10.0,5123.447174925254,Homo sapiens,Staphylococcus aureus,E,B
5AWF_D,5AWF_B,18622,15146,14692,666296.0,4.0,1204.7969684838902,Escherichia coli,Escherichia coli,B,B
5BNX_A,5BNX_C,25122,1248,1228,11799.0,4.0,48.24932359550922,Homo sapiens,Homo sapiens,E,E
5BNX_C,5BNX_B,1248,3360,1222,9330.0,4.0,38.384790753234675,Homo sapiens,Homo sapiens,E,E
5BNX_D,5BNX_B,1490,3360,1422,12294.0,4.0,39.32544230979719,Homo sapiens,Homo sapiens,E,E
5BNX_A,5BNX_D,25122,1490,1440,16299.0,4.0,48.96368193301542,Homo sapiens,Homo sapiens,E,E
5I9E_A,5I9E_E,21412,324,324,3608.0,9.0,9.311486450164594,Saccharomyces cerevisiae,Saccharomyces cerevisiae,E,E
5IXI_B,5IXI_A,0,378,0,0.0,,,Homo sapiens,Homo sapiens,E,E
5N6Y_A,5N6Y_C,5143,188,159,2717.0,11.0,20.880427369719293,Azotobacter vinelandii,Azotobacter vinelandii,B,B
1GL2_C,1GL2_D,1380,1527,1358,37827.0,6.0,87.82374747178717,Mus musculus,Rattus norvegicus,E,E
1GL2_A,1GL2_B,1643,1719,1523,135183.0,20.0,256.23174246350726,Rattus norvegicus,Mus musculus,E,E
1GL2_C,1GL2_B,1380,1719,1361,60088.0,8.0,153.56323605252638,Mus musculus,Mus musculus,E,E
1GL2_A,1GL2_D,1643,1527,1474,84821.0,20.0,160.57873104332492,Rattus norvegicus,Rattus norvegicus,E,E
1KF6_O,1KF6_N,1507,19580,1481,51951.0,4.0,587.5799880406746,Escherichia coli,Escherichia coli,B,B
1KF6_M,1KF6_N,19819,19580,17958,1566438.0,5.0,3108.0878236572667,Escherichia coli,Escherichia coli,B,B
1KF6_C,1KF6_D,1507,1455,1433,8074.0,1.0,78.80478584014378,Escherichia coli,Escherichia coli,B,B
1KF6_D,1KF6_B,1455,19582,1427,48313.0,4.0,544.9948017664217,Escherichia coli,Escherichia coli,B,B
1M56_B,1M56_I,40314,26424,20984,616661.0,1.0,1626.1010107580719,Rhodobacter sphaeroides,Rhodobacter sphaeroides,B,B
1M56_C,1M56_D,26424,1541,1512,11573.0,3.0,48.21974950624402,Rhodobacter sphaeroides,Rhodobacter sphaeroides,B,B
1R5I_A,1R5I_D,984,2,0,0.0,,,Homo sapiens,Mycoplasma arthritidis,E,B
2HYI_C,2HYI_D,18664,444,437,26232.0,9.0,680.3196376076475,Homo sapiens,Homo sapiens,E,E
2HYI_H,2HYI_G,7746,1336,1261,101959.0,24.0,251.39820855376723,Homo sapiens,Homo sapiens,E,E
2HYI_A,2HYI_D,1336,444,418,1976.0,1.0,18.12693870779207,Homo sapiens,Homo sapiens,E,E
