,id1,id2,n_unique1,n_unique2,n_matching_ox,ncombos_total,median_combos,std_combos,PDB
54,1JB0_A,1JB0_D,7658,758,710,3367.0,2.0,12.398309311953867,1jb0
55,1JB0_E,1JB0_C,730,17612,680,2333.0,2.0,10.02634408406382,1jb0
56,1JB0_A,1JB0_E,7658,730,693,4042.0,2.0,19.202895666556106,1jb0
57,1JB0_A,1JB0_F,7658,766,707,3665.0,2.0,16.290506957928525,1jb0
58,2J3T_A,2J3T_C,1550,1505,1449,21297.0,9.0,36.06639841850463,2j3t
59,1K8K_A,1K8K_F,20474,1267,1253,44472.0,11.0,195.32168644446284,1k8k
60,1K8K_D,1K8K_F,1314,1267,1182,4146.0,1.0,33.11809652830722,1k8k
61,1K8K_A,1K8K_E,20474,1239,1231,62571.0,11.0,356.32587173650353,1k8k
62,1K8K_C,1K8K_F,3309,1267,1243,56902.0,21.0,132.39610209051014,1k8k
63,1K8K_A,1K8K_D,20474,1314,1298,74202.0,11.0,610.9470672611245,1k8k
64,1K8K_G,1K8K_F,1259,1267,1163,2681.0,1.0,5.095024633380504,1k8k
65,1K8K_C,1K8K_G,3309,1259,1246,60088.0,21.0,105.44704603438143,1k8k
66,2Y69_N,2Y69_S,43233,1351,433,5530.0,2.0,96.77535670245294,2y69
67,2Y69_E,2Y69_I,1112,319,289,1260.0,2.0,17.913534578304454,2y69
68,2Y69_B,2Y69_I,40450,319,273,2962.0,3.0,45.77268418153531,2y69
69,2Y69_E,2Y69_D,1112,1183,1022,6909.0,1.0,124.24185061149551,2y69
70,2Y69_B,2Y69_E,40450,1112,523,6880.0,2.0,112.08985107190156,2y69
71,2Y69_O,2Y69_U,40451,1310,677,8247.0,2.0,85.95672928872581,2y69
72,2Y69_M,2Y69_L,183,893,136,558.0,2.0,5.812359311092672,2y69
73,2Y69_A,2Y69_M,43233,183,146,3254.0,3.0,162.49674217615726,2y69
74,2Y69_C,2Y69_G,26427,1199,496,7474.0,2.0,202.94476082491002,2y69
75,2Y69_A,2Y69_D,43233,1183,372,8269.0,2.0,270.6796284005635,2y69
76,2Y69_A,2Y69_B,43233,40450,17321,366348.0,1.0,1751.1036152353245,2y69
77,2Y69_B,2Y69_D,40450,1183,573,9066.0,2.0,153.29847378383664,2y69
78,2Y69_Q,2Y69_X,1183,142,138,897.0,3.0,10.644621694287345,2y69
79,2Y69_P,2Y69_S,26427,1351,600,6143.0,2.0,78.30009491621891,2y69
80,2Y69_A,2Y69_T,43233,1199,405,8519.0,2.0,259.84376842680945,2y69
81,2Y69_N,2Y69_Y,43233,893,258,4520.0,2.0,163.84877224763468,2y69
82,2Y69_N,2Y69_P,43233,26427,12358,470135.0,1.0,3306.3266916802345,2y69
83,3X1L_C,3X1L_B,1778,744,728,3013.0,2.0,5.608444824372048,3x1l
84,3X1L_D,3X1L_G,1785,495,484,1481.0,2.0,4.292811210890063,3x1l
85,3X1L_B,3X1L_A,744,2525,724,2023.0,1.0,3.777721775990704,3x1l
86,3X1L_F,3X1L_A,496,2525,474,989.0,1.0,2.898949899539097,3x1l
87,3X1L_C,3X1L_A,1778,2525,1581,7355.0,2.0,9.398031789639079,3x1l
88,1PRT_E,1PRT_F,15,15,15,20.0,1.0,1.247219128924647,1prt
89,1PRT_B,1PRT_F,21,15,15,67.0,3.0,5.239168721170267,1prt
90,1PRT_G,1PRT_K,627,15,15,47.0,1.0,7.982202425117742,1prt
91,1PRT_G,1PRT_L,627,15,15,36.0,1.0,5.238320341483519,1prt
92,1PRT_B,1PRT_D,21,15,15,79.0,3.0,8.225704968099826,1prt
93,4H44_B,4H44_G,29657,4775,4486,6235.0,1.0,2.4086104891426268,4h44
94,4H44_A,4H44_G,32593,4775,4469,6259.0,1.0,2.322751679819543,4h44
95,4H44_B,4H44_C,29657,4933,4674,8127.0,1.0,8.001364283831983,4h44
96,4H44_G,4H44_F,4775,597,495,671.0,1.0,2.012798555417645,4h44
97,4H44_A,4H44_D,32593,15963,9969,399866.0,3.0,1342.6471225703406,4h44
98,4H44_C,4H44_E,4933,345,341,385.0,1.0,0.8602028347128253,4h44
99,4H44_B,4H44_A,29657,32593,23440,491203.0,1.0,318.1591261775651,4h44
100,1U35_C,1U35_F,2346,3369,2025,114992.0,9.0,390.02323603641344,1u35
101,4GAM_I,4GAM_M,1007,43,42,74.0,1.0,1.5245533898649641,4gam
102,4GAM_L,4GAM_I,1324,1007,999,14104.0,2.0,291.3208057690628,4gam
103,4GAM_B,4GAM_C,1324,43,43,186.0,2.0,4.892903880407798,4gam
104,2WJN_L,2WJN_C,10074,620,350,14578.0,4.0,640.6383099786062,2wjn
105,2WJN_L,2WJN_H,10074,3205,651,9537.0,4.0,188.8152330687601,2wjn
106,3GE3_A,3GE3_C,1477,181,181,6139.0,4.0,377.93848893618997,3ge3
107,3ZIA_M,3ZIA_T,29533,691,661,1247.0,1.0,3.5037240111293277,3zia
108,3ZIA_A,3ZIA_G,29533,20010,19654,402637.0,2.0,727.6308871514793,3zia
109,3ZIA_R,3ZIA_S,26586,1107,1008,2889.0,1.0,7.891182016272695,3zia
110,3ZIA_E,3ZIA_G,38138,20010,19489,295079.0,2.0,432.88138215695216,3zia
111,3ZIA_G,3ZIA_H,20010,26586,19042,169644.0,1.0,249.0663821327205,3zia
112,3ZIA_G,3ZIA_I,20010,1107,1057,3249.0,1.0,11.32391597151918,3zia
113,3ZIA_Q,3ZIA_T,20010,691,657,1083.0,1.0,2.5724748437628517,3zia
114,3ZIA_D,3ZIA_J,38139,691,656,1158.0,1.0,3.1136617630465167,3zia
115,4I6M_A,4I6M_D,20197,50,46,549.0,10.0,7.221351715912674,4i6m
116,4I6M_A,4I6M_C,20197,1011,988,80264.0,11.0,1050.0474066932256,4i6m
117,4P1B_I,4P1B_A,14164,1495,1123,219196.0,14.0,4058.881442684187,4p1b
118,5LXT_A,5LXT_E,16140,331,326,78351.0,53.0,859.7771312115484,5lxt
119,5LXT_A,5LXT_F,16140,7496,2625,523057.0,6.0,3939.498669425309,5lxt
120,5T5I_C,5T5I_A,14578,17230,12244,792933.0,3.0,2022.6452405133255,5t5i
121,5T5I_B,5T5I_A,13426,17230,11157,1905876.0,8.0,5444.396582999847,5t5i
122,5T5I_F,5T5I_B,12478,13426,7777,1860290.0,6.0,11287.559509157525,5t5i
123,5T5I_B,5T5I_G,13426,15352,9941,957205.0,6.0,2671.270939355534,5t5i
124,5T5I_B,5T5I_D,13426,12936,12506,3575799.0,9.0,13419.297021613123,5t5i
125,5T5I_J,5T5I_K,13426,14578,10700,740001.0,4.0,1987.9878319215395,5t5i
126,2WDQ_E,2WDQ_F,19835,19259,17806,1549381.0,5.0,3060.744146710141,2wdq
127,2WDQ_C,2WDQ_B,11657,19259,11101,181056.0,3.0,417.20178999386786,2wdq
128,2YPA_C,2YPA_D,1732,379,375,211643.0,103.0,1943.540990027795,2ypa
129,2YPA_A,2YPA_C,1758,1732,1154,3529078.0,43.5,19029.85643064135,2ypa
130,3MHS_A,3MHS_E,3700,84,83,1850.0,17.0,29.695454246452922,3mhs
131,3MHS_C,3MHS_B,868,828,618,1756.0,1.0,6.740744529154247,3mhs
132,3MHS_A,3MHS_B,3700,828,820,83464.0,29.0,345.54315713725015,3mhs
133,3MHS_D,3MHS_A,2745,3700,1689,4256109.0,306.0,21765.99454771336,3mhs
134,3MHS_E,3MHS_B,84,828,54,71.0,1.0,1.5374832016435418,3mhs
135,3MHS_A,3MHS_C,3700,868,862,82925.0,25.0,425.8810715437861,3mhs
136,3RKO_F,3RKO_E,17755,31116,16590,248443.0,1.0,661.0794979827405,3rko
137,3RZO_C,3RZO_L,21305,2308,2167,33820.0,2.0,421.49085554738815,3rzo
138,3RZO_B,3RZO_K,38996,2511,2306,53460.0,6.0,604.2718578746396,3rzo
139,3RZO_C,3RZO_K,21305,2511,2374,45385.0,4.0,656.02481107245,3rzo
140,3RZO_A,3RZO_K,40589,2511,2342,84463.0,6.0,1174.306997567682,3rzo
141,3RZO_B,3RZO_A,38996,40589,23601,339474.0,1.0,504.309199791216,3rzo
142,3RZO_C,3RZO_J,21305,2250,2123,37889.0,2.0,637.1725088635571,3rzo
143,4HUQ_T,4HUQ_S,10812,5257,5030,229346.0,6.0,809.2858117808913,4huq
144,4HUQ_A,4HUQ_T,14548,10812,9664,518924.0,8.0,1560.033169754257,4huq
145,4IIQ_B,4IIQ_A,717,555,401,26728772.0,100.0,591200.567719545,4iiq
146,4IIQ_C,4IIQ_A,915,555,228,54836724.0,653.0,3073418.5907119964,4iiq
147,4P6Z_M,4P6Z_B,2385,3648,1617,472224.0,81.0,1790.1894189454306,4p6z
148,4P6Z_S,4P6Z_G,1697,3449,1542,458482.0,78.0,1613.8369743949766,4p6z
149,4P6Z_V,4P6Z_S,1,1697,0,0.0,,,4p6z
150,4P6Z_M,4P6Z_G,2385,3449,1611,411638.0,66.0,1500.4717648940625,4p6z
151,4U7U_V,4U7U_M,1861,1830,1778,13009.0,1.0,219.2826513290904,4u7u
152,4U7U_V,4U7U_W,1861,2372,1779,9497.0,1.0,138.7696201236192,4u7u
153,4U7U_E,4U7U_B,1861,497,481,1509.0,1.0,36.01140220986217,4u7u
154,4U7U_P,4U7U_U,1917,1861,1794,9642.0,1.0,138.20580335423526,4u7u
155,4U7U_A,4U7U_K,1830,2372,1743,12382.0,1.0,207.45182991499647,4u7u
156,4U7U_A,4U7U_B,1830,497,469,1916.0,1.0,53.98393878823573,4u7u
157,4UQI_S,4UQI_B,1637,3488,1543,505335.0,88.0,2105.088829111124,4uqi
158,4UQI_M,4UQI_A,2383,2371,1609,358059.0,56.0,1290.146975469555,4uqi
159,4UQI_S,4UQI_A,1637,2371,1534,379016.0,63.0,1421.5709603768012,4uqi
160,1B33_E,1B33_N,2853,451,383,24905.0,45.0,188.86884489388217,1b33
161,1J34_C,1J34_A,0,1861,0,0.0,,,1j34
162,1SR4_B,1SR4_A,8712,741,522,7305.0,2.0,101.1905847879592,1sr4
163,1XF6_C,1XF6_A,2707,14,10,152.0,3.5,25.72469630530164,1xf6
164,1YTZ_I,1YTZ_C,497,6217,463,260487.0,104.0,1520.19236339461,1ytz
165,2BA1_E,2BA1_B,21483,19796,18031,1199311.0,6.0,2719.0911213531213,2ba1
166,2D1P_D,2D1P_F,8255,3453,3425,58425.0,3.0,270.4184733902364,2d1p
167,2GAG_A,2GAG_C,19280,11849,11841,1217757.0,3.0,2332.069874053921,2gag
168,2GAG_B,2GAG_D,13591,2927,2918,195639.0,12.0,734.3909672991443,2gag
169,2GAG_A,2GAG_D,19280,2927,2921,162019.0,7.0,656.1624448854441,2gag
170,2GAG_B,2GAG_A,13591,19280,12771,1685670.0,6.0,2639.746128807558,2gag
171,2GAG_D,2GAG_C,2927,11849,2913,137397.0,5.0,591.0074651510395,2gag
172,2J3W_D,2J3W_C,1550,1515,1462,25633.0,12.0,40.921164105326056,2j3w
173,2NUT_A,2NUT_C,1892,1538,1477,93983.0,10.0,372.18725121370034,2nut
174,2OI9_A,2OI9_B,624,535,214,43271935.0,606.0,2478078.651073745,2oi9
175,2WP8_A,2WP8_J,20153,18771,16135,361922.0,2.0,700.9027553735283,2wp8
176,2WTK_E,2WTK_D,5775,1335,1320,208204.0,25.0,743.2034255901939,2wtk
177,2ZZD_J,2ZZD_L,1871,2372,1831,15697.0,1.0,146.81622840917547,2zzd
178,3BG4_C,3BG4_D,3764,32,20,6669.0,82.5,533.1835026517606,3bg4
179,3OJY_A,3OJY_C,1056,4535,544,210335.0,27.0,3007.162335736101,3ojy
180,3P8C_D,3P8C_A,652,627,545,13941.0,6.0,140.5246837697569,3p8c
181,3P8C_A,3P8C_B,627,907,547,7907.0,3.0,49.39694186795818,3p8c
182,3P8C_D,3P8C_F,652,530,504,19765.0,4.0,235.63975492342462,3p8c
183,3P8C_A,3P8C_F,627,530,507,16270.0,4.0,130.3024991126794,3p8c
184,3P8C_F,3P8C_B,530,907,493,9869.0,2.0,78.5414302074132,3p8c
185,3RLF_F,3RLF_E,10732,11911,9767,1370665.0,9.0,2060.758721355185,3rlf
186,3RLF_B,3RLF_F,14745,10732,9380,845321.0,12.0,1577.8400357328308,3rlf
187,3RLF_G,3RLF_E,10688,11911,9646,1340708.0,8.0,1970.541508032248,3rlf
188,3RLF_A,3RLF_G,14745,10688,9486,785373.0,10.0,1384.0712783670547,3rlf
189,3TQ7_A,3TQ7_Q,1424,1521,1379,53390.0,4.0,276.91075277237786,3tq7
190,4F4O_D,4F4O_F,9521,3591,2195,6237286.0,5.0,118867.43517717485,4f4o
191,4G91_B,4G91_A,2469,1251,1230,71913.0,5.0,345.4979746106244,4g91
192,4LNU_A,4LNU_K,16666,1749,1599,2388757.0,99.0,21719.48785310264,4lnu
193,5AWF_D,5AWF_B,18622,15146,14692,666296.0,4.0,1204.7969684838902,5awf
194,5BNX_A,5BNX_C,25122,1248,1228,11799.0,4.0,48.24932359550922,5bnx
195,5BNX_C,5BNX_B,1248,3360,1222,9330.0,4.0,38.384790753234675,5bnx
196,5BNX_D,5BNX_B,1490,3360,1422,12294.0,4.0,39.32544230979719,5bnx
197,5BNX_A,5BNX_D,25122,1490,1440,16299.0,4.0,48.96368193301542,5bnx
198,5I9E_A,5I9E_E,21412,324,324,3608.0,9.0,9.311486450164594,5i9e
199,5IXI_B,5IXI_A,0,378,0,0.0,,,5ixi
200,5N6Y_A,5N6Y_C,5143,188,159,2717.0,11.0,20.880427369719293,5n6y
201,1GL2_C,1GL2_D,1380,1527,1358,37827.0,6.0,87.82374747178717,1gl2
202,1GL2_A,1GL2_B,1643,1719,1523,135183.0,20.0,256.23174246350726,1gl2
203,1GL2_C,1GL2_B,1380,1719,1361,60088.0,8.0,153.56323605252638,1gl2
204,1GL2_A,1GL2_D,1643,1527,1474,84821.0,20.0,160.57873104332492,1gl2
205,1KF6_O,1KF6_N,1507,19580,1481,51951.0,4.0,587.5799880406746,1kf6
206,1KF6_M,1KF6_N,19819,19580,17958,1566438.0,5.0,3108.0878236572667,1kf6
207,1KF6_C,1KF6_D,1507,1455,1433,8074.0,1.0,78.80478584014378,1kf6
208,1KF6_D,1KF6_B,1455,19582,1427,48313.0,4.0,544.9948017664217,1kf6
209,1M56_B,1M56_I,40314,26424,20984,616661.0,1.0,1626.1010107580719,1m56
210,1M56_C,1M56_D,26424,1541,1512,11573.0,3.0,48.21974950624402,1m56
211,1R5I_A,1R5I_D,984,2,0,0.0,,,1r5i
212,2HYI_C,2HYI_D,18664,444,437,26232.0,9.0,680.3196376076475,2hyi
213,2HYI_H,2HYI_G,7746,1336,1261,101959.0,24.0,251.39820855376723,2hyi
214,2HYI_A,2HYI_D,1336,444,418,1976.0,1.0,18.12693870779207,2hyi
215,2HYI_I,2HYI_G,18664,1336,1243,22804.0,6.0,102.51719729752777,2hyi
216,2NPS_A,2NPS_D,1651,1527,1475,83139.0,20.0,168.14515528304534,2nps
217,2NPS_C,2NPS_D,1349,1527,1329,23027.0,5.0,65.37784071052549,2nps
218,2P22_A,2P22_C,1245,820,746,2885.0,1.0,15.792295519074782,2p22
219,2P22_B,2P22_A,1204,1245,1083,3141.0,1.0,26.063691253734355,2p22
220,2P22_A,2P22_D,1245,43,40,43.0,1.0,0.2633913438213185,2p22
221,2P22_C,2P22_D,820,43,37,44.0,1.0,0.6911736136510497,2p22
222,3HRD_D,3HRD_A,14714,11165,10813,3449934.0,9.0,14689.557727761136,3hrd
223,3HRD_H,3HRD_F,15186,11111,10794,3963265.0,9.0,17565.380587143933,3hrd
224,3HRD_H,3HRD_G,15186,11081,10171,1664797.0,6.0,7236.548425715763,3hrd
225,3VR4_D,3VR4_G,26080,4954,4819,105005.0,2.0,824.2289485514018,3vr4
226,3VR4_G,3VR4_H,4954,3998,3819,37527.0,1.0,389.1795708755385,3vr4
227,3VR4_C,3VR4_G,33428,4954,4833,110457.0,3.0,837.0821199189501,3vr4
228,4OR5_B,4OR5_E,2980,183,165,42609.0,92.0,496.3238787496325,4or5
229,4OR5_F,4OR5_G,10203,2980,1706,2330829.0,112.0,10890.912565664754,4or5
230,4OR5_H,4OR5_J,102,183,0,0.0,,,4or5
231,4OR5_G,4OR5_H,2980,102,0,0.0,,,4or5
232,4Q7J_E,4Q7J_G,20812,116,2,7.0,3.5,2.5,4q7j
233,4Q7J_D,4Q7J_C,22142,116,2,18.0,9.0,8.0,4q7j
234,4Q7J_F,4Q7J_E,34502,20812,19241,310438.0,1.0,521.9080647392279,4q7j
235,4Q7J_B,4Q7J_C,34634,116,2,25.0,12.5,0.5,4q7j
236,5J9T_B,5J9T_C,1306,1395,1229,8858.0,2.0,23.99796728459548,5j9t
237,5J9T_C,5J9T_D,1395,1209,1159,22634.0,2.0,159.635593387545,5j9t
238,5J9T_F,5J9T_H,1297,1209,1081,4989.0,1.0,15.48506221783532,5j9t
239,5J9T_E,5J9T_G,1531,1395,1360,49710.0,4.0,440.1553138290562,5j9t
240,5JA4_D,5JA4_B,8678,3363,1518,297187.0,35.0,947.2576104205783,5ja4
241,5M3H_B,5M3H_A,11631,27235,5003,67361.0,1.0,817.0216864932304,5m3h
242,5M3H_B,5M3H_C,11631,17306,4543,75061.0,2.0,982.8342441876644,5m3h
243,5M3H_A,5M3H_C,27235,17306,7379,186226.0,1.0,1823.1598229461208,5m3h
244,1NH2_A,1NH2_D,2841,1317,1238,10999.0,3.0,35.56068878150458,1nh2
245,1NH2_A,1NH2_C,2841,1304,1249,14953.0,3.0,110.17541882699273,1nh2
246,1NH2_D,1NH2_C,1317,1304,1141,4075.0,1.0,26.182689730382286,1nh2
247,2A6H_P,2A6H_M,20512,41487,18817,525194.0,3.0,770.5168778180861,2a6h
248,2A6H_P,2A6H_N,20512,36094,18639,490675.0,2.0,790.3081105513126,2a6h
249,2A6H_C,2A6H_D,41487,36094,26672,475811.0,1.0,678.3482612010556,2a6h
250,2AST_C,2AST_B,1303,2273,1154,93362.0,11.0,293.66384702918066,2ast
251,2AST_A,2AST_B,1668,2273,1382,1244230.0,24.0,5299.117573661212,2ast
252,2CLY_D,2CLY_E,424,1258,375,9422.0,1.0,412.64713290116964,2cly
253,2CLY_A,2CLY_C,424,389,345,1806.0,1.0,37.76724992611624,2cly
254,2CLY_C,2CLY_B,389,1258,350,1601.0,1.0,22.608946937720326,2cly
255,2FD6_U,2FD6_H,283,758,204,756906.0,342.0,15617.557161395196,2fd6
256,2FD6_U,2FD6_A,283,685,210,120142.0,149.0,1309.165553384216,2fd6
257,2J56_A,2J56_L,12741,586,509,69796.0,4.0,2473.2269834360104,2j56
258,2J56_L,2J56_H,586,8716,571,24869.0,8.0,443.24365834941324,2j56
259,2J56_A,2J56_H,12741,8716,6180,3995490.0,8.0,35105.29971565545,2j56
260,2PBD_A,2PBD_P,11804,1569,1438,112693.0,12.0,346.11594365242587,2pbd
261,2PBD_P,2PBD_V,1569,184,164,5028.0,12.0,51.836450004585856,2pbd
262,2PBD_A,2PBD_V,11804,184,182,37987.0,55.0,383.448627652132,2pbd
263,2QFA_C,2QFA_B,113,142,101,456.0,2.0,5.645665754331063,2qfa
264,2QFA_A,2QFA_C,1386,113,112,5733.0,28.0,77.08338843305623,2qfa
265,2QFA_A,2QFA_B,1386,142,139,6517.0,20.0,68.54259602314951,2qfa
266,2YFV_C,2YFV_B,63,3341,60,95.0,1.0,1.2012724734861595,2yfv
267,2YFV_A,2YFV_C,25057,63,62,131.0,2.0,1.1231413134550765,2yfv
268,2YNM_B,2YNM_C,17993,5199,3467,2597479.0,6.0,38004.69767474539,2ynm
269,2YNM_A,2YNM_D,18014,5486,3683,4315095.0,6.0,63718.72277873805,2ynm
270,2ZXE_B,2ZXE_G,478,144,135,9359.0,35.0,108.16029459948028,2zxe
271,2ZXE_B,2ZXE_A,478,18500,463,146469.0,35.0,3998.176324290744,2zxe
272,2ZXE_A,2ZXE_G,18500,144,143,40236.0,90.0,493.09667527305254,2zxe
273,3A1J_B,3A1J_A,1862,2419,1783,8709.0,1.0,15.684211916982242,3a1j
274,3A1J_C,3A1J_A,2628,2419,2344,11711.0,1.0,32.355038784486105,3a1j
275,3A1J_C,3A1J_B,2628,1862,1764,8692.0,2.0,15.883517177379698,3a1j
276,3BPO_A,3BPO_B,81,590,69,6696.0,52.0,125.35011082385955,3bpo
277,3BPO_B,3BPO_C,590,892,574,1205263.0,25.0,7998.153564389061,3bpo
278,3BPO_A,3BPO_C,81,892,71,13883.0,112.0,250.69783343647808,3bpo
279,3EGW_A,3EGW_C,12556,7069,6402,421662.0,4.0,1970.0433872076728,3egw
280,3EGW_C,3EGW_B,7069,13585,6276,318335.0,3.0,1523.7172639684964,3egw
281,3EGW_A,3EGW_B,12556,13585,9771,3496643.0,6.0,18149.12289625416,3egw
282,3KFD_B,3KFD_F,1839,158,154,19307.0,52.0,202.58998165313326,3kfd
283,3KFD_K,3KFD_G,342,158,147,4475.0,8.0,52.541933917120225,3kfd
284,3KFD_A,3KFD_J,1839,346,338,77818.0,26.5,518.8305466090779,3kfd
285,3KFU_H,3KFU_J,19010,15884,15372,518703.0,2.0,1220.1763611733334,3kfu
286,3KFU_H,3KFU_I,19010,17275,15892,629244.0,2.0,1389.0069853881823,3kfu
287,3KFU_B,3KFU_I,22813,17275,16251,551112.0,2.0,1228.8724618569709,3kfu
288,3LK2_A,3LK2_T,1366,133,129,2048.0,5.0,23.96153498724101,3lk2
289,3LK2_B,3LK2_T,1375,133,127,1121.0,3.0,15.158010012219119,3lk2
290,3LK2_B,3LK2_A,1375,1366,1263,4305.0,1.0,12.384547994052431,3lk2
291,3OR1_B,3OR1_C,15474,5503,4478,138825.0,3.0,578.7575434515453,3or1
292,3OR1_A,3OR1_C,14717,5503,4293,153019.0,3.0,709.1605787116771,3or1
293,3P5J_A,3P5J_B,21415,1255,1157,3161.0,1.0,20.098567404732236,3p5j
294,3P5J_A,3P5J_C,21415,1156,1100,2103.0,1.0,4.740391848363705,3p5j
295,3P5J_C,3P5J_B,1156,1255,1065,2159.0,1.0,7.037272354152213,3p5j
296,3RGB_J,3RGB_I,1060,260,170,172124.0,2.0,11622.644435475722,3rgb
297,3RGB_B,3RGB_C,1060,170,149,992387.0,3.0,80359.627588666,3rgb
298,3RGB_A,3RGB_C,260,170,161,1406.0,2.0,34.61586139939393,3rgb
299,3S8G_A,3S8G_B,34984,33718,20194,620606.0,1.0,1713.2952099578602,3s8g
300,3S8G_B,3S8G_C,33718,458,457,2256.0,3.0,8.454946856135942,3s8g
301,3S8G_A,3S8G_C,34984,458,454,3066.0,4.0,19.1691042974991,3s8g
302,3SJL_E,3SJL_B,586,10328,513,18426.0,4.0,423.6717175965785,3sjl
303,3SJL_B,3SJL_F,10328,8716,5899,3558476.0,10.0,35306.65630429332,3sjl
