name,JHparams,lenA,lenB,msa,msaA,msaB,cdhit,dockQ,fnat,iRMS,LRMS,fnonnat,mm,tmA,tmB,long,med,longPPV,medPPV,longA,medA,longPPVA,medPPVA,longB,medB,longPPVB,medPPVB,short,shortPPV,shortA,shortPPVA,shortB,shortPPVB,shortpdb,medpdb,longpdb,avprob,longMODEL,medMODEL,longPPVMODEL,medPPVMODEL,longAMODEL,medAMODEL,longPPVAMODEL,medPPVAMODEL,longBMODEL,medBMODEL,longPPVBMODEL,medPPVBMODEL,shortMODEL,shortPPVMODEL,shortAMODEL,shortPPVAMODEL,shortBMODEL,shortPPVBMODEL,shortpdbMODEL,medpdbMODEL,longpdbMODEL,avprobMODEL,evalue,seqid,hhprob,hhevalue,hhscore,PconsDock,MMdock,shortMCC,medMCC,longMCC,shortF1,medF1,longF1,shortMCCMODEL,medMCCMODEL,longMCCMODEL,shortF1MODEL,medF1MODEL,longF1MODEL,rank,pcd,mmd
1AWC_A-1AWC_B,AF2-marks,111,154,0,0,0,0,0.606,0.000,0.601,1.788,1.000,0.98662,0.97926,0.99086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.999,0.79985,x
1AWC_A-1AWC_B,AF2-marks,111,154,0,0,0,0,0.605,0.000,0.611,1.760,1.000,0.98653,0.97686,0.99089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.9978,0.799776,x
1AWC_A-1AWC_B,AF2-marks,111,154,0,0,0,0,0.606,0.000,0.594,1.877,1.000,0.98651,0.98177,0.99012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0.9974,0.799798,x
1AWC_A-1AWC_B,AF2-marks,111,154,0,0,0,0,0.606,0.000,0.595,1.860,1.000,0.98644,0.98127,0.98957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.9978,0.799746,x
1AWC_A-1AWC_B,AF2-marks,111,154,0,0,0,0,0.609,0.000,0.588,1.697,1.000,0.98751,0.98133,0.99070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.9978,0.799818,x
1B33_E-1B33_N,AF2-marks,161,68,0,0,0,0,0.029,0.000,16.175,28.950,1.000,0.69713,0.93589,0.62373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.9284,0.79702,x
1B33_E-1B33_N,AF2-marks,161,68,0,0,0,0,0.029,0.000,16.249,29.176,1.000,0.69730,0.93164,0.61498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.9828,0.797844,x
1B33_E-1B33_N,AF2-marks,161,68,0,0,0,0,0.029,0.000,16.223,29.073,1.000,0.69608,0.93499,0.61549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0.9782,0.797708,x
1B33_E-1B33_N,AF2-marks,161,68,0,0,0,0,0.029,0.000,16.377,29.345,1.000,0.69867,0.93665,0.61889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.9752,0.79704,x
1B33_E-1B33_N,AF2-marks,161,68,0,0,0,0,0.029,0.000,16.417,29.108,1.000,0.69707,0.93674,0.61630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.9694,0.79688,x
1BH9_A-1BH9_B,AF2-marks,46,90,0,0,0,0,0.945,1.000,0.629,1.042,0.949,0.97059,0.94113,0.96309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.9984,0.799926,x
1BH9_A-1BH9_B,AF2-marks,46,90,0,0,0,0,0.947,1.000,0.616,1.018,0.949,0.97184,0.94263,0.96477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.9984,0.799888,x
1BH9_A-1BH9_B,AF2-marks,46,90,0,0,0,0,0.944,1.000,0.636,1.057,0.950,0.96994,0.94222,0.96204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,1,0.799892,x
1BH9_A-1BH9_B,AF2-marks,46,90,0,0,0,0,0.946,1.000,0.626,1.028,0.949,0.97077,0.94272,0.96271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.9984,0.799878,x
1BH9_A-1BH9_B,AF2-marks,46,90,0,0,0,0,0.943,1.000,0.644,1.069,0.950,0.96940,0.94194,0.96150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.9998,0.799868,x
1BML_B-1BML_D,AF2-marks,251,319,0,0,0,0,0.024,0.000,24.065,31.588,1.000,0.47582,0.96265,0.57799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.4624,0.638308,x
1BML_B-1BML_D,AF2-marks,251,319,0,0,0,0,0.026,0.000,23.395,30.399,1.000,0.50291,0.96059,0.71058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.3854,0.588122,x
1BML_B-1BML_D,AF2-marks,251,319,0,0,0,0,0.023,0.000,22.886,32.096,1.000,0.45762,0.96242,0.55782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0.2984,0.527596,x
1BML_B-1BML_D,AF2-marks,251,319,0,0,0,0,0.023,0.000,24.220,32.132,1.000,0.48487,0.96100,0.57883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.444,0.658246,x
1BML_B-1BML_D,AF2-marks,251,319,0,0,0,0,0.025,0.000,23.103,30.787,1.000,0.48753,0.96169,0.62848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.415,0.615776,x
1BOU_B-1BOU_A,AF2-marks,299,133,0,0,0,0,0.908,0.952,0.786,1.030,0.873,0.99147,0.99305,0.96440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.9454,0.79763,x
1BOU_B-1BOU_A,AF2-marks,299,133,0,0,0,0,0.906,0.952,0.796,1.062,0.871,0.99135,0.99285,0.96782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.9422,0.797708,x
1BOU_B-1BOU_A,AF2-marks,299,133,0,0,0,0,0.904,0.952,0.810,1.088,0.870,0.99096,0.99295,0.96360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0.9466,0.797852,x
1BOU_B-1BOU_A,AF2-marks,299,133,0,0,0,0,0.904,0.952,0.808,1.093,0.867,0.99117,0.99340,0.96390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.9408,0.797798,x
1BOU_B-1BOU_A,AF2-marks,299,133,0,0,0,0,0.795,0.952,1.664,1.063,0.874,0.98547,0.98445,0.96786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.8442,0.793484,x
1C9B_N-1C9B_M,AF2-marks,181,208,0,0,0,0,0.493,0.000,0.932,4.809,1.000,0.94914,0.98911,0.97598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.982,0.799186,x
1C9B_N-1C9B_M,AF2-marks,181,208,0,0,0,0,0.471,0.000,1.087,4.824,1.000,0.94361,0.98830,0.97762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.9246,0.798514,x
1C9B_N-1C9B_M,AF2-marks,181,208,0,0,0,0,0.497,0.000,0.939,4.598,1.000,0.95057,0.98877,0.97395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0.9872,0.799424,x
1C9B_N-1C9B_M,AF2-marks,181,208,0,0,0,0,0.492,0.000,0.945,4.765,1.000,0.94737,0.98669,0.97562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.9874,0.799488,x
1C9B_N-1C9B_M,AF2-marks,181,208,0,0,0,0,0.502,0.000,0.919,4.518,1.000,0.95249,0.98850,0.97490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.9828,0.799392,x
1CI6_A-1CI6_B,AF2-marks,57,48,0,0,0,0,0.597,0.000,0.668,1.807,1.000,0.90380,0.86928,0.90379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.9878,0.795062,x
1CI6_A-1CI6_B,AF2-marks,57,48,0,0,0,0,0.603,0.000,0.641,1.686,1.000,0.89893,0.84652,0.90371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.9696,0.792132,x
1CI6_A-1CI6_B,AF2-marks,57,48,0,0,0,0,0.595,0.000,0.678,1.836,1.000,0.90126,0.86563,0.90227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0.9874,0.794962,x
1CI6_A-1CI6_B,AF2-marks,57,48,0,0,0,0,0.602,0.000,0.644,1.701,1.000,0.89825,0.84704,0.90438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.976,0.792918,x
1CI6_A-1CI6_B,AF2-marks,57,48,0,0,0,0,0.596,0.000,0.672,1.821,1.000,0.90273,0.86817,0.90321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.9878,0.794994,x
1D2Z_A-1D2Z_B,AF2-marks,103,151,0,0,0,0,0.932,1.000,0.692,1.488,0.862,0.97526,0.98668,0.98184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.98,0.796618,x
1D2Z_A-1D2Z_B,AF2-marks,103,151,0,0,0,0,0.933,1.000,0.652,1.752,0.862,0.97209,0.96735,0.98191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.9254,0.795112,x
1D2Z_A-1D2Z_B,AF2-marks,103,151,0,0,0,0,0.929,1.000,0.703,1.542,0.862,0.97452,0.98829,0.98214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0.9802,0.796518,x
1D2Z_A-1D2Z_B,AF2-marks,103,151,0,0,0,0,0.935,1.000,0.677,1.410,0.862,0.97677,0.98814,0.98219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.9808,0.796724,x
1D2Z_A-1D2Z_B,AF2-marks,103,151,0,0,0,0,0.938,1.000,0.624,1.679,0.864,0.97352,0.96702,0.98194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.9254,0.794856,x
1DCE_B-1DCE_A,AF2-marks,330,567,0,0,0,0,0.770,1.000,2.029,1.804,0.945,0.95903,0.98409,0.92859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.9718,0.79239,x
1DCE_B-1DCE_A,AF2-marks,330,567,0,0,0,0,0.776,1.000,1.997,1.592,0.943,0.97252,0.98421,0.95348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.9604,0.797282,x
1DCE_B-1DCE_A,AF2-marks,330,567,0,0,0,0,0.775,1.000,2.007,1.549,0.944,0.97196,0.98409,0.95147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0.9648,0.797116,x
1DCE_B-1DCE_A,AF2-marks,330,567,0,0,0,0,0.777,1.000,1.987,1.557,0.942,0.97469,0.98417,0.95752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.96,0.797028,x
1DCE_B-1DCE_A,AF2-marks,330,567,0,0,0,0,0.776,1.000,1.988,1.603,0.943,0.97262,0.98403,0.95371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.9622,0.79752,x
1DHK_A-1DHK_B,AF2-marks,496,196,0,0,0,0,0.007,0.000,24.057,63.358,1.000,0.20548,0.98443,0.94453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.583,0.686384,x
1DHK_A-1DHK_B,AF2-marks,496,196,0,0,0,0,0.007,0.000,24.037,63.288,1.000,0.20660,0.98365,0.94021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.5292,0.573572,x
1DHK_A-1DHK_B,AF2-marks,496,196,0,0,0,0,0.009,0.000,19.721,56.265,1.000,0.70792,0.98465,0.94382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03,0.2068,0.573716,x
1DHK_A-1DHK_B,AF2-marks,496,196,0,0,0,0,0.007,0.000,24.021,63.205,1.000,0.20398,0.98428,0.94421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04,0.5806,0.686438,x
1DHK_A-1DHK_B,AF2-marks,496,196,0,0,0,0,0.055,0.000,12.430,20.212,1.000,0.75912,0.98466,0.94402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05,0.2056,0.573744,x
1DML_F-1DML_E,AF2-marks,37,276,0,0,0,0,0.682,0.882,2.237,3.522,0.812,0.91956,0.79817,0.92594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01,0.7848,0.7696,x
1DML_F-1DML_E,AF2-marks,37,276,0,0,0,0,0.014,0.000,19.513,43.682,0.000,0.80952,0.66311,0.90953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02,0.1446,0.702724,x
